       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CHI3L1 	0.041302	0.095023	0.0079828	0.0047205	0.0088943	0.009387	0.010756	0.009743	0.010119	0.0097295	0.0097908	0.0095618	0.0098034	0.0088546	0.0097616	0.009611	0.009835	0.010279	0.11334	0.0081957	0.0063428	0.0075029	0.0085393	0.0080009	0.0082244	0.0098214	0.0091285	0.0078769	0.0080037	0.0083866	0.010296	0.0098674	0.013004	0.0096895	0.010168	0.011657	0.010307	0.010339	0.019572	0.010884	0.0094726	0.0098446	0.010091	0.0086638	0.010283	0.0094006	0.010236	0.0098143	0.0098151	0.009955	0.0067428	0.0098686	0.0094933	0.010591	0.011172	0.0097614	0.0095464	0.0097725	0.0090673	0.0092033	0.0070654	0.0094488	0.010078	0.0090908	0.008973	0.009155	0.0067589	0.0063428	0.009873	0.0067667	0.0090979	0.0078612	0.0082984	0.011041	0.0088186	0.004293	0.0099436	0.010122	0.010512	0.010362	0.0096825	0.0094502	0.0098703                     
CHIA   	0.010902	0.0081957	0.010428	0.0057881	0.020603	0.012188	0.011839	0.012525	0.012358	0.012211	0.011953	0.01212	0.012626	0.011709	0.011997	0.012146	0.012042	0.012311	0.0081957	0.030742	0.008898	0.010117	0.011108	0.010773	0.011241	0.01209	0.011541	0.0099686	0.010391	0.011062	0.012319	0.012317	0.01195	0.012315	0.012614	0.012536	0.012602	0.012599	0.01195	0.012807	0.017846	0.012387	0.012368	0.011082	0.012274	0.012096	0.013122	0.012298	0.012214	0.011932	0.0090826	0.012246	0.01186	0.012339	0.012585	0.011887	0.011829	0.012145	0.011522	0.011566	0.0095066	0.012271	0.011727	0.018323	0.011516	0.012008	0.0093035	0.008898	0.011976	0.0093381	0.019395	0.010318	0.010714	0.012227	0.011786	0.0058179	0.01195	0.012783	0.012208	0.012569	0.012195	0.012182	0.01223                                                                    
CLC    	0.0094252	0.0063428	0.0098707	0.0043536	0.0096761	0.010323	0.012346	0.011133	0.011031	0.011077	0.012428	0.010959	0.012031	0.010595	0.01238	0.011052	0.011333	0.010955	0.0063428	0.008898	0.03399	0.026127	0.0094368	0.0087133	0.0094763	0.012548	0.011027	0.0092282	0.022873	0.0090752	0.010768	0.010556	0.011218	0.010494	0.010883	0.010004	0.010827	0.010277	0.010395	0.011304	0.01011	0.010979	0.010734	0.010413	0.010992	0.010829	0.010761	0.010988	0.011645	0.0126	0.0071357	0.011162	0.011006	0.01105	0.010879	0.011963	0.011607	0.011675	0.01031	0.010627	0.0084971	0.010354	0.010223	0.010233	0.0094106	0.010116	0.030508	0.033655	0.01036	0.030592	0.0099605	0.023811	0.021176	0.0099893	0.010035	0.0064946	0.010744	0.011294	0.010521	0.010959	0.010629	0.010217	0.010982                                                             
CLCA1  	0.010155	0.0075029	0.01052	0.005275	0.01064	0.011056	0.012316	0.01156	0.011461	0.011526	0.012418	0.011483	0.012129	0.011269	0.012367	0.011523	0.011701	0.011435	0.0075029	0.010117	0.026127	0.021258	0.010361	0.0098492	0.010444	0.012455	0.011508	0.01003	0.019135	0.010117	0.011321	0.011189	0.011601	0.011157	0.01139	0.010852	0.011351	0.010978	0.010976	0.011654	0.010913	0.011478	0.01127	0.011054	0.011452	0.011391	0.011316	0.011472	0.011891	0.012494	0.0082793	0.011588	0.011471	0.01149	0.011381	0.012057	0.011878	0.011899	0.010974	0.011151	0.0094349	0.011077	0.010812	0.010988	0.010368	0.010923	0.024075	0.026127	0.011039	0.024132	0.010819	0.019736	0.018036	0.010817	0.010881	0.006933	0.011271	0.011666	0.011137	0.011427	0.011245	0.010987	0.011462                                                                        
CMA1   	0.010958	0.0085393	0.012393	0.011022	0.0116	0.011871	0.011926	0.01202	0.01218	0.011971	0.01183	0.011944	0.012038	0.011648	0.011997	0.011961	0.011955	0.01213	0.0085393	0.011108	0.0094368	0.010361	0.017832	0.02055	0.011256	0.012099	0.012191	0.012424	0.010702	0.018949	0.012136	0.012146	0.011842	0.012026	0.012157	0.012289	0.012179	0.013594	0.011878	0.012187	0.011881	0.012162	0.012038	0.011165	0.012172	0.011902	0.01211	0.012029	0.012119	0.012177	0.0096156	0.012048	0.012681	0.012523	0.012386	0.011885	0.012098	0.012453	0.015454	0.013524	0.012522	0.011959	0.012631	0.01197	0.017601	0.011826	0.0097783	0.0094368	0.01219	0.0098125	0.011688	0.010606	0.010952	0.011974	0.011704	0.0063042	0.012185	0.012017	0.012186	0.012245	0.012106	0.011993	0.012024                                                                        
CPA3   	0.010704	0.0080009	0.012498	0.0073832	0.011345	0.011625	0.011798	0.011886	0.012121	0.011804	0.011617	0.011742	0.011937	0.011289	0.011882	0.011772	0.011777	0.012033	0.0080009	0.010773	0.0087133	0.0098492	0.02055	0.025853	0.010783	0.012051	0.012058	0.012556	0.010259	0.022536	0.012052	0.012056	0.011643	0.011859	0.01209	0.012407	0.012124	0.014396	0.011801	0.012174	0.011725	0.012062	0.011927	0.010693	0.012124	0.011677	0.012031	0.011892	0.012039	0.012171	0.0091018	0.011914	0.012865	0.012666	0.01246	0.011766	0.011973	0.012554	0.017192	0.014218	0.012728	0.011757	0.012539	0.011893	0.020498	0.011532	0.0091259	0.0087133	0.01198	0.0091706	0.011463	0.010148	0.010585	0.011739	0.011388	0.0058653	0.012164	0.011904	0.012124	0.0122	0.011974	0.011776	0.011887                                                                  
CRLF2  	0.01094	0.0082244	0.010943	0.0057547	0.011822	0.012484	0.012227	0.013902	0.012366	0.014591	0.012314	0.012494	0.012345	0.012857	0.012426	0.012769	0.012821	0.012485	0.0082244	0.011241	0.0094763	0.010444	0.011256	0.010783	0.035317	0.012191	0.012435	0.010582	0.01088	0.011074	0.012626	0.012209	0.012455	0.012344	0.012443	0.011955	0.012289	0.011994	0.011898	0.012329	0.011995	0.012363	0.012364	0.011794	0.01231	0.012189	0.012366	0.012621	0.012341	0.012225	0.012121	0.012609	0.012305	0.012327	0.012248	0.012185	0.012421	0.012371	0.011816	0.011827	0.010112	0.01212	0.011688	0.012118	0.01134	0.012289	0.0098642	0.0094763	0.012319	0.0098645	0.011893	0.010742	0.011093	0.012196	0.01174	0.0067009	0.013376	0.012384	0.012221	0.012213	0.012394	0.012628	0.014221                                                                    
CSF2   	0.011456	0.0098214	0.012231	0.0080293	0.012194	0.012249	0.012221	0.012239	0.012203	0.01224	0.01228	0.012274	0.01223	0.012302	0.012264	0.012255	0.012255	0.012215	0.0098214	0.01209	0.012548	0.012455	0.012099	0.012051	0.012191	0.012249	0.012481	0.012152	0.012412	0.012096	0.012219	0.012225	0.012181	0.012237	0.012214	0.012184	0.012205	0.012174	0.011967	0.012197	0.012206	0.012254	0.012168	0.012111	0.012224	0.01231	0.012215	0.012234	0.012252	0.012259	0.010858	0.012254	0.012281	0.012204	0.012208	0.012162	0.012321	0.012235	0.01219	0.012186	0.012089	0.012226	0.0119	0.012209	0.012128	0.012263	0.012504	0.012548	0.012201	0.012522	0.0122	0.01242	0.012384	0.012208	0.012167	0.0079527	0.012183	0.012227	0.01219	0.012196	0.012251	0.012259	0.012234                                                                              
CSF3R  	0.011363	0.0091285	0.011716	0.0064004	0.012005	0.012462	0.012289	0.01238	0.012292	0.012385	0.012302	0.012453	0.012301	0.012512	0.012422	0.01239	0.012424	0.012436	0.0091285	0.011541	0.011027	0.011508	0.012191	0.012058	0.012435	0.012481	0.016731	0.011411	0.011775	0.012147	0.012389	0.012329	0.012261	0.012377	0.01236	0.012143	0.012366	0.01225	0.012055	0.012301	0.012179	0.012469	0.012327	0.011874	0.012317	0.012368	0.01237	0.012378	0.012582	0.012642	0.011835	0.012414	0.013264	0.012353	0.012616	0.012246	0.01358	0.012438	0.012562	0.012266	0.011047	0.012247	0.011915	0.012114	0.012269	0.012353	0.011225	0.011027	0.012357	0.011279	0.012108	0.011714	0.011882	0.012285	0.011973	0.0071654	0.012697	0.012315	0.012293	0.012349	0.012537	0.012412	0.012433                                                                        
CYSLTR1	0.010447	0.0078769	0.026764	0.0064121	0.010743	0.011631	0.012553	0.01176	0.013005	0.011709	0.011551	0.0114	0.011844	0.01112	0.011822	0.0117	0.011754	0.01175	0.0078769	0.0099686	0.0092282	0.01003	0.012424	0.012556	0.010582	0.012152	0.011411	0.033601	0.010577	0.012459	0.011682	0.011878	0.011677	0.011622	0.011805	0.011162	0.01173	0.011771	0.011441	0.011651	0.011072	0.011587	0.011688	0.011398	0.012619	0.011704	0.011648	0.011642	0.011622	0.011817	0.0087175	0.011752	0.011993	0.011802	0.011657	0.011902	0.011706	0.011916	0.01224	0.015225	0.037221	0.011609	0.01182	0.011215	0.011803	0.011233	0.0095971	0.0092282	0.011897	0.0096328	0.010868	0.010496	0.010756	0.011665	0.011125	0.0064309	0.011697	0.011626	0.012827	0.011959	0.011534	0.011343	0.011581                                                                       
