       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
EPX    	0.01047	0.0080037	0.010957	0.0056247	0.010919	0.011346	0.012314	0.011736	0.011646	0.011716	0.012426	0.011724	0.012158	0.011614	0.012366	0.011732	0.011871	0.011628	0.0080037	0.010391	0.022873	0.019135	0.010702	0.010259	0.01088	0.012412	0.011775	0.010577	0.017539	0.010499	0.011544	0.011441	0.011775	0.011422	0.011589	0.011131	0.011554	0.011239	0.011209	0.011783	0.011165	0.011677	0.011489	0.011448	0.011646	0.011625	0.011527	0.01168	0.011987	0.012446	0.0087662	0.011767	0.011675	0.011662	0.011582	0.012107	0.012011	0.011984	0.011229	0.011392	0.01009	0.011353	0.011048	0.011217	0.010714	0.011252	0.021306	0.022873	0.011325	0.02135	0.011075	0.01799	0.016691	0.011151	0.011178	0.0077696	0.011496	0.011804	0.011394	0.011612	0.011498	0.011299	0.01166                                                                        
FCER1A 	0.010903	0.0083866	0.012427	0.0074138	0.01156	0.011803	0.011892	0.011994	0.012172	0.01193	0.011771	0.011898	0.012016	0.011532	0.011974	0.011913	0.01191	0.012114	0.0083866	0.011062	0.0090752	0.010117	0.018949	0.022536	0.011074	0.012096	0.012147	0.012459	0.010499	0.020907	0.012134	0.012147	0.011793	0.011993	0.012159	0.012429	0.012186	0.013993	0.011877	0.012213	0.011872	0.012152	0.012015	0.010975	0.012182	0.011838	0.012114	0.012003	0.012114	0.012196	0.0093786	0.012023	0.012789	0.012625	0.012453	0.011862	0.012065	0.012519	0.016237	0.013834	0.012565	0.011926	0.012454	0.012	0.018916	0.011742	0.0094586	0.0090752	0.012085	0.0094954	0.011654	0.010392	0.010788	0.011898	0.011656	0.0061469	0.012202	0.012006	0.012186	0.012242	0.012086	0.011941	0.011997                                                                   
FOXP3  	0.011717	0.010296	0.01182	0.0075191	0.012448	0.012552	0.012216	0.012387	0.012292	0.012408	0.012322	0.012459	0.012276	0.012548	0.012284	0.012428	0.012386	0.012382	0.010296	0.012319	0.010768	0.011321	0.012136	0.012052	0.012626	0.012219	0.012389	0.011682	0.011544	0.012134	0.012424	0.012449	0.012323	0.012513	0.012387	0.012502	0.012388	0.012344	0.012164	0.012312	0.012419	0.012416	0.012351	0.012304	0.012338	0.01246	0.012401	0.012394	0.012348	0.012236	0.011367	0.012392	0.012362	0.012339	0.012345	0.01222	0.012348	0.012301	0.012241	0.012169	0.011376	0.012529	0.011999	0.012387	0.01221	0.012737	0.010995	0.010768	0.012431	0.010992	0.01242	0.011469	0.011659	0.012547	0.012583	0.0081678	0.012342	0.012369	0.012366	0.012333	0.012501	0.012623	0.012414                                                                         
GATA3  	0.011584	0.0098674	0.011972	0.007361	0.012475	0.012616	0.012216	0.012377	0.012313	0.012383	0.012324	0.012434	0.012281	0.01243	0.012274	0.012419	0.012371	0.012402	0.0098674	0.012317	0.010556	0.011189	0.012146	0.012056	0.012209	0.012225	0.012329	0.011878	0.011441	0.012147	0.012449	0.012615	0.01232	0.01258	0.012417	0.012513	0.012412	0.012373	0.012148	0.012328	0.012447	0.012447	0.012375	0.0123	0.012382	0.012643	0.01245	0.012417	0.012361	0.01223	0.011065	0.012428	0.012364	0.012379	0.012359	0.012261	0.012332	0.012312	0.012245	0.012214	0.011598	0.012858	0.01201	0.012398	0.012219	0.01269	0.010821	0.010556	0.012464	0.01081	0.012443	0.011358	0.011575	0.012649	0.013609	0.008263	0.01232	0.012422	0.012435	0.012354	0.012511	0.012614	0.0124                                                                                 
GPR44  	0.01272	0.013004	0.011768	0.0068431	0.012193	0.012374	0.012238	0.012321	0.012228	0.01235	0.012378	0.012489	0.012231	0.01266	0.012288	0.012396	0.012395	0.01229	0.013004	0.01195	0.011218	0.011601	0.011842	0.011643	0.012455	0.012181	0.012261	0.011677	0.011775	0.011793	0.012323	0.01232	0.012472	0.012346	0.012286	0.012348	0.012276	0.012198	0.01235	0.012265	0.012239	0.012342	0.012229	0.012299	0.012275	0.012351	0.012294	0.012335	0.01227	0.0122	0.010328	0.012337	0.012245	0.012272	0.012295	0.012174	0.012293	0.012229	0.01204	0.01205	0.011315	0.01237	0.011859	0.012201	0.011927	0.012379	0.011376	0.011218	0.01228	0.011373	0.012209	0.011704	0.011834	0.012378	0.012377	0.0082373	0.012223	0.012303	0.012278	0.012249	0.012345	0.012381	0.012334                                                                                  
ICOS   	0.01154	0.0096895	0.011772	0.0073143	0.01252	0.012837	0.012225	0.012419	0.012326	0.012435	0.012349	0.012475	0.012307	0.012491	0.012298	0.012477	0.01241	0.01247	0.0096895	0.012315	0.010494	0.011157	0.012026	0.011859	0.012344	0.012237	0.012377	0.011622	0.011422	0.011993	0.012513	0.01258	0.012346	0.012699	0.012465	0.012571	0.012478	0.012372	0.012161	0.012349	0.012478	0.012483	0.012417	0.012329	0.012394	0.012549	0.012488	0.012452	0.012409	0.012254	0.011201	0.012448	0.012407	0.012389	0.012386	0.012282	0.012371	0.012333	0.012192	0.012159	0.011236	0.012766	0.012022	0.01242	0.01211	0.013109	0.010772	0.010494	0.012467	0.010759	0.012476	0.011336	0.011565	0.012645	0.013	0.0083403	0.012369	0.012441	0.012459	0.012381	0.012653	0.012871	0.012462                                                                            
IFNG   	0.011657	0.010168	0.011916	0.0081712	0.012574	0.01249	0.012205	0.012358	0.012284	0.012366	0.012295	0.012406	0.01227	0.01245	0.012262	0.012385	0.012346	0.012354	0.010168	0.012614	0.010883	0.01139	0.012157	0.01209	0.012443	0.012214	0.01236	0.011805	0.011589	0.012159	0.012387	0.012417	0.012286	0.012465	0.012367	0.012531	0.012368	0.012342	0.012134	0.012303	0.012493	0.012392	0.01232	0.012318	0.012323	0.012428	0.012387	0.012373	0.012324	0.012223	0.011078	0.012365	0.012335	0.012319	0.012327	0.012198	0.01232	0.012285	0.012239	0.012182	0.011571	0.01249	0.012028	0.012476	0.012224	0.012631	0.011088	0.010883	0.012386	0.011088	0.012522	0.011523	0.011696	0.012483	0.012542	0.0080225	0.012295	0.012354	0.012343	0.01232	0.012451	0.012552	0.012372                                                                              
IFNGR2 	0.012221	0.011657	0.011413	0.0072001	0.012672	0.01254	0.012155	0.012375	0.012309	0.012372	0.012283	0.012406	0.01228	0.012322	0.012233	0.012395	0.012328	0.012443	0.011657	0.012536	0.010004	0.010852	0.012289	0.012407	0.011955	0.012184	0.012143	0.011162	0.011131	0.012429	0.012502	0.012513	0.012348	0.012571	0.012531	0.015713	0.012605	0.012803	0.012543	0.012466	0.012582	0.012485	0.012371	0.011882	0.012412	0.012456	0.012492	0.0124	0.012371	0.012207	0.010226	0.012412	0.012314	0.012397	0.012415	0.012175	0.012245	0.012319	0.012324	0.012131	0.010716	0.012565	0.01207	0.012544	0.012512	0.012713	0.010327	0.010004	0.012388	0.010325	0.012556	0.011029	0.011316	0.012645	0.01247	0.0070345	0.012282	0.012502	0.012448	0.012408	0.012533	0.012651	0.012397                                                                          
IL10   	0.011696	0.010307	0.011862	0.0085965	0.012576	0.012499	0.012187	0.01234	0.012275	0.012344	0.012278	0.012383	0.012262	0.012403	0.012247	0.012371	0.012328	0.012356	0.010307	0.012602	0.010827	0.011351	0.012179	0.012124	0.012289	0.012205	0.012366	0.01173	0.011554	0.012186	0.012388	0.012412	0.012276	0.012478	0.012368	0.012605	0.012377	0.012355	0.012151	0.012301	0.01249	0.012385	0.012321	0.012202	0.012317	0.012419	0.012385	0.012354	0.012322	0.012217	0.011204	0.012355	0.012338	0.012316	0.012327	0.012188	0.012314	0.012279	0.012249	0.012173	0.011479	0.01248	0.01206	0.01247	0.012247	0.012699	0.011039	0.010827	0.01238	0.011039	0.012517	0.011487	0.011667	0.012478	0.012499	0.0080196	0.01229	0.012348	0.012341	0.012319	0.012466	0.012587	0.012358                                                                            
IL12A  	0.011689	0.010339	0.01189	0.007426	0.012528	0.012359	0.012122	0.012279	0.012257	0.012262	0.012174	0.012292	0.012218	0.012218	0.012186	0.012278	0.012243	0.01231	0.010339	0.012599	0.010277	0.010978	0.013594	0.014396	0.011994	0.012174	0.01225	0.011771	0.011239	0.013993	0.012344	0.012373	0.012198	0.012372	0.012342	0.012803	0.012355	0.012752	0.012159	0.012312	0.012476	0.012352	0.012265	0.011962	0.012301	0.012317	0.012358	0.012296	0.012278	0.012202	0.010705	0.012298	0.012413	0.012394	0.012374	0.012118	0.01224	0.012331	0.013088	0.012502	0.01153	0.012381	0.012087	0.012498	0.01369	0.012412	0.01055	0.010277	0.012314	0.010557	0.012479	0.011156	0.011404	0.012386	0.012345	0.0077078	0.012267	0.012303	0.012319	0.012316	0.012371	0.012412	0.012286                                                                            
IL12B  	0.014637	0.019572	0.011543	0.008581	0.01209	0.012166	0.012049	0.012072	0.012061	0.012077	0.01203	0.012101	0.012009	0.012059	0.011999	0.012088	0.01208	0.012135	0.019572	0.01195	0.010395	0.010976	0.011878	0.011801	0.011898	0.011967	0.012055	0.011441	0.011209	0.011877	0.012164	0.012148	0.01235	0.012161	0.012134	0.012543	0.012151	0.012159	0.012882	0.012151	0.012115	0.012124	0.012093	0.011875	0.012111	0.012118	0.012152	0.012095	0.012062	0.011991	0.010879	0.012102	0.012053	0.012138	0.012203	0.011939	0.012041	0.012029	0.011966	0.011905	0.011154	0.012153	0.011895	0.012057	0.011973	0.012201	0.010624	0.010395	0.012167	0.010627	0.012083	0.011134	0.011336	0.012361	0.012099	0.0076467	0.012061	0.012112	0.012157	0.01212	0.012147	0.012193	0.012099                                                                           
IL13   	0.011872	0.010884	0.011793	0.0080562	0.012588	0.012363	0.012186	0.012306	0.012232	0.012305	0.012273	0.012361	0.012245	0.012404	0.012241	0.012323	0.0123	0.012287	0.010884	0.012807	0.011304	0.011654	0.012187	0.012174	0.012329	0.012197	0.012301	0.011651	0.011783	0.012213	0.012312	0.012328	0.012265	0.012349	0.012303	0.012466	0.012301	0.012312	0.012151	0.012278	0.012494	0.012333	0.012253	0.01223	0.012269	0.012383	0.012328	0.012314	0.012275	0.012206	0.010891	0.012314	0.012278	0.012277	0.012292	0.012155	0.012275	0.012251	0.012239	0.012136	0.011388	0.012361	0.011971	0.012492	0.012267	0.012402	0.01144	0.011304	0.01229	0.011444	0.012538	0.011735	0.011854	0.012364	0.012351	0.0079186	0.012232	0.012307	0.012266	0.01227	0.012342	0.012389	0.012306                                                                          
IL13RA1	0.011445	0.0094726	0.011343	0.0068912	0.01512	0.012474	0.012118	0.012454	0.012342	0.012362	0.01224	0.012386	0.01242	0.012286	0.012222	0.012369	0.012307	0.012392	0.0094726	0.017846	0.01011	0.010913	0.011881	0.011725	0.011995	0.012206	0.012179	0.011072	0.011165	0.011872	0.012419	0.012447	0.012239	0.012478	0.012493	0.012582	0.01249	0.012476	0.012115	0.012494	0.014187	0.01246	0.012374	0.01189	0.012352	0.01238	0.012671	0.012401	0.012342	0.012171	0.010206	0.012385	0.012245	0.012375	0.012462	0.012132	0.012228	0.012287	0.012071	0.012006	0.010697	0.012498	0.011946	0.014312	0.012068	0.012457	0.010407	0.01011	0.012324	0.010419	0.014692	0.011087	0.011355	0.012478	0.012387	0.0069792	0.012225	0.012538	0.012348	0.012448	0.012427	0.012484	0.012373                                                                           
IL13RA2	0.011605	0.0098446	0.011778	0.0071839	0.012484	0.012506	0.012257	0.012398	0.012301	0.012405	0.012373	0.012476	0.012305	0.012508	0.012318	0.012438	0.012404	0.012384	0.0098446	0.012387	0.010979	0.011478	0.012162	0.012062	0.012363	0.012254	0.012469	0.011587	0.011677	0.012152	0.012416	0.012447	0.012342	0.012483	0.012392	0.012485	0.012385	0.012352	0.012124	0.012333	0.01246	0.012494	0.012346	0.012664	0.012356	0.012529	0.01241	0.01247	0.012376	0.012272	0.010655	0.012442	0.012392	0.012352	0.012368	0.012251	0.012406	0.012332	0.012269	0.012174	0.011251	0.012511	0.011982	0.012429	0.012241	0.012582	0.011185	0.010979	0.01241	0.011183	0.012463	0.011608	0.011775	0.012487	0.012542	0.0083651	0.012313	0.012386	0.012355	0.012352	0.01248	0.012549	0.012412                                                                       
IL17A  	0.011591	0.010091	0.011808	0.0084038	0.012416	0.012459	0.012183	0.012306	0.012237	0.012311	0.012232	0.012338	0.012217	0.0124	0.012204	0.012342	0.012303	0.012312	0.010091	0.012368	0.010734	0.01127	0.012038	0.011927	0.012364	0.012168	0.012327	0.011688	0.011489	0.012015	0.012351	0.012375	0.012229	0.012417	0.01232	0.012371	0.012321	0.012265	0.012093	0.012253	0.012374	0.012346	0.012439	0.012932	0.01228	0.012446	0.012344	0.012387	0.012291	0.012176	0.015462	0.012339	0.012294	0.012268	0.012279	0.012164	0.012291	0.012246	0.012161	0.012116	0.011416	0.012411	0.012009	0.012345	0.012095	0.012532	0.010954	0.010734	0.012425	0.010952	0.012406	0.01142	0.011604	0.012485	0.012414	0.0079737	0.012432	0.012296	0.012307	0.012281	0.012405	0.012498	0.012342                                                                          
IL17RB 	0.01122	0.0086638	0.011423	0.0059939	0.011688	0.012217	0.013086	0.012434	0.0122	0.012344	0.012265	0.012232	0.0122	0.012015	0.01221	0.012418	0.012314	0.012256	0.0086638	0.011082	0.010413	0.011054	0.011165	0.010693	0.011794	0.012111	0.011874	0.011398	0.011448	0.010975	0.012304	0.0123	0.012299	0.012329	0.012318	0.011882	0.012202	0.011962	0.011875	0.01223	0.01189	0.012664	0.012932	0.033529	0.012265	0.012536	0.012308	0.014575	0.012276	0.012112	0.011238	0.012697	0.012069	0.012208	0.01225	0.012609	0.0123	0.012304	0.011583	0.011842	0.010631	0.012236	0.011691	0.011786	0.011243	0.012261	0.010757	0.010413	0.0124	0.010663	0.011879	0.011374	0.011559	0.012311	0.012069	0.0089721	0.012145	0.012279	0.012202	0.012224	0.012343	0.012352	0.012475                                                                                 
IL18   	0.01168	0.010283	0.01264	0.0075591	0.012369	0.012424	0.012226	0.012324	0.012306	0.012329	0.012291	0.012368	0.012249	0.012398	0.012254	0.012352	0.012327	0.012313	0.010283	0.012274	0.010992	0.011452	0.012172	0.012124	0.01231	0.012224	0.012317	0.012619	0.011646	0.012182	0.012338	0.012382	0.012275	0.012394	0.012323	0.012412	0.012317	0.012301	0.012111	0.012269	0.012352	0.012356	0.01228	0.012265	0.012345	0.012507	0.012332	0.012337	0.01229	0.012214	0.010924	0.012355	0.012317	0.01229	0.012291	0.012194	0.012301	0.01227	0.012246	0.01231	0.012667	0.012417	0.011972	0.012341	0.012213	0.012467	0.011182	0.010992	0.012339	0.011185	0.012351	0.011583	0.011738	0.012412	0.012426	0.0081838	0.012259	0.012309	0.01234	0.012291	0.01238	0.012438	0.012328                                                                              
IL1RL1 	0.011456	0.0094006	0.012002	0.0069431	0.012343	0.012539	0.012271	0.012429	0.012332	0.012418	0.012443	0.012451	0.01232	0.012388	0.012322	0.012457	0.012414	0.012422	0.0094006	0.012096	0.010829	0.011391	0.011902	0.011677	0.012189	0.01231	0.012368	0.011704	0.011625	0.011838	0.01246	0.012643	0.012351	0.012549	0.012428	0.012456	0.012419	0.012317	0.012118	0.012383	0.01238	0.012529	0.012446	0.012536	0.012507	0.013832	0.012447	0.012502	0.012402	0.012271	0.011231	0.01265	0.012372	0.012364	0.01237	0.012316	0.012391	0.012344	0.012124	0.012161	0.011383	0.012641	0.011978	0.012332	0.011993	0.012596	0.011071	0.010829	0.012442	0.011071	0.012358	0.011545	0.011728	0.012604	0.01279	0.0085806	0.012334	0.012413	0.012418	0.012375	0.012511	0.012582	0.012449                                                                         
IL21   	0.011686	0.010236	0.01179	0.0073439	0.012841	0.012579	0.012199	0.012372	0.012287	0.012368	0.012293	0.012403	0.012287	0.012418	0.01226	0.012386	0.012345	0.012369	0.010236	0.013122	0.010761	0.011316	0.01211	0.012031	0.012366	0.012215	0.01237	0.011648	0.011527	0.012114	0.012401	0.01245	0.012294	0.012488	0.012387	0.012492	0.012385	0.012358	0.012152	0.012328	0.012671	0.01241	0.012344	0.012308	0.012332	0.012447	0.012435	0.012389	0.012336	0.012223	0.011247	0.012378	0.012337	0.012335	0.012353	0.012204	0.012325	0.012291	0.01222	0.012149	0.011333	0.012547	0.011976	0.012662	0.0122	0.012585	0.010984	0.010761	0.012396	0.010984	0.012752	0.011458	0.011647	0.012526	0.012652	0.0080202	0.012309	0.012386	0.01236	0.012338	0.012453	0.012539	0.01238                                                                               
IL25   	0.011586	0.0098143	0.011786	0.0069362	0.012415	0.012472	0.012331	0.012411	0.012286	0.012418	0.012354	0.012447	0.01229	0.012478	0.012304	0.012431	0.012394	0.01236	0.0098143	0.012298	0.010988	0.011472	0.012029	0.011892	0.012621	0.012234	0.012378	0.011642	0.01168	0.012003	0.012394	0.012417	0.012335	0.012452	0.012373	0.0124	0.012354	0.012296	0.012095	0.012314	0.012401	0.01247	0.012387	0.014575	0.012337	0.012502	0.012389	0.012647	0.01235	0.012248	0.010728	0.012447	0.012339	0.012327	0.012342	0.012275	0.012375	0.012317	0.012177	0.012136	0.011277	0.012469	0.011928	0.012372	0.012108	0.01253	0.011195	0.010988	0.012384	0.011184	0.01241	0.011613	0.011773	0.01245	0.012484	0.0083627	0.012299	0.012367	0.01233	0.012322	0.012447	0.012514	0.012429                                                                             
IL2RA  	0.011531	0.0098151	0.011794	0.0072943	0.012349	0.012448	0.012228	0.012332	0.012248	0.012341	0.012327	0.012398	0.012272	0.01245	0.012297	0.012368	0.012346	0.012326	0.0098151	0.012214	0.011645	0.011891	0.012119	0.012039	0.012341	0.012252	0.012582	0.011622	0.011987	0.012114	0.012348	0.012361	0.01227	0.012409	0.012324	0.012371	0.012322	0.012278	0.012062	0.012275	0.012342	0.012376	0.012291	0.012276	0.01229	0.012402	0.012336	0.01235	0.012337	0.012277	0.01137	0.012352	0.012373	0.012294	0.012309	0.012214	0.012403	0.012293	0.012238	0.012145	0.011322	0.012409	0.01193	0.012319	0.012185	0.012535	0.011744	0.011645	0.01233	0.011749	0.01234	0.011951	0.012033	0.012391	0.012407	0.0081961	0.0123	0.012323	0.012287	0.012284	0.012416	0.012481	0.012348                                                                            
IL3    	0.011516	0.009955	0.011936	0.0073857	0.012128	0.012273	0.012225	0.012248	0.012189	0.012254	0.012295	0.012295	0.012235	0.012325	0.012281	0.012269	0.01227	0.01223	0.009955	0.011932	0.0126	0.012494	0.012177	0.012171	0.012225	0.012259	0.012642	0.011817	0.012446	0.012196	0.012236	0.01223	0.0122	0.012254	0.012223	0.012207	0.012217	0.012202	0.011991	0.012206	0.012171	0.012272	0.012176	0.012112	0.012214	0.012271	0.012223	0.012248	0.012277	0.012287	0.010889	0.012261	0.012331	0.012223	0.012235	0.012172	0.01238	0.012255	0.012254	0.012157	0.011631	0.012236	0.011866	0.012163	0.01222	0.012295	0.01255	0.0126	0.012211	0.012564	0.012148	0.012455	0.012416	0.012221	0.012171	0.0080093	0.012211	0.012236	0.012185	0.012202	0.012277	0.012286	0.012252                                                                                
IL31   	0.0091553	0.0067428	0.0090544	0.0050985	0.0099265	0.011674	0.010621	0.010793	0.010846	0.010802	0.010265	0.010497	0.010717	0.011428	0.010514	0.011003	0.010996	0.011112	0.0067428	0.0090826	0.0071357	0.0082793	0.0096156	0.0091018	0.012121	0.010858	0.011835	0.0087175	0.0087662	0.0093786	0.011367	0.011065	0.010328	0.011201	0.011078	0.010226	0.011204	0.010705	0.010879	0.010891	0.010206	0.010655	0.015462	0.011238	0.010924	0.011231	0.011247	0.010728	0.01137	0.010889	0.15274	0.010992	0.011331	0.010888	0.010959	0.010742	0.011388	0.011071	0.010671	0.010483	0.0081174	0.010475	0.010678	0.010002	0.0096458	0.010645	0.0075888	0.0071357	0.012213	0.0076048	0.01054	0.0086612	0.0091196	0.011615	0.0097704	0.0050805	0.01694	0.010801	0.011263	0.011037	0.011243	0.011335	0.011446                                                   
IL33   	0.011598	0.0098686	0.011919	0.0071013	0.012387	0.012466	0.012262	0.012397	0.012292	0.012411	0.01238	0.01246	0.012293	0.012512	0.012314	0.012428	0.0124	0.01236	0.0098686	0.012246	0.011162	0.011588	0.012048	0.011914	0.012609	0.012254	0.012414	0.011752	0.011767	0.012023	0.012392	0.012428	0.012337	0.012448	0.012365	0.012412	0.012355	0.012298	0.012102	0.012314	0.012385	0.012442	0.012339	0.012697	0.012355	0.01265	0.012378	0.012447	0.012352	0.012261	0.010992	0.01244	0.012354	0.012324	0.012335	0.012247	0.012378	0.012312	0.012195	0.012164	0.011459	0.012468	0.011946	0.01236	0.012123	0.012531	0.01134	0.011162	0.012377	0.011339	0.012382	0.011703	0.011844	0.012453	0.012476	0.0083441	0.012313	0.012362	0.012336	0.012322	0.012444	0.01251	0.012413                                                                            
IL3RA  	0.011434	0.0094933	0.012108	0.0071415	0.012169	0.012443	0.01222	0.01233	0.012285	0.012339	0.01228	0.012388	0.012258	0.012414	0.012295	0.012361	0.012344	0.012352	0.0094933	0.01186	0.011006	0.011471	0.012681	0.012865	0.012305	0.012281	0.013264	0.011993	0.011675	0.012789	0.012362	0.012364	0.012245	0.012407	0.012335	0.012314	0.012338	0.012413	0.012053	0.012278	0.012245	0.012392	0.012294	0.012069	0.012317	0.012372	0.012337	0.012339	0.012373	0.012331	0.011331	0.012354	0.012596	0.012343	0.012385	0.012205	0.012588	0.012345	0.012627	0.012367	0.011841	0.012368	0.011993	0.012221	0.012723	0.012511	0.011196	0.011006	0.012346	0.011211	0.012199	0.011614	0.011776	0.01236	0.012281	0.0080896	0.012384	0.012303	0.012318	0.012311	0.012451	0.012482	0.012356                                                                       
IL4    	0.011787	0.010591	0.011911	0.0075118	0.012393	0.012397	0.012192	0.012313	0.012252	0.01232	0.012273	0.012384	0.012241	0.012437	0.012251	0.012344	0.012318	0.012309	0.010591	0.012339	0.01105	0.01149	0.012523	0.012666	0.012327	0.012204	0.012353	0.011802	0.011662	0.012625	0.012339	0.012379	0.012272	0.012389	0.012319	0.012397	0.012316	0.012394	0.012138	0.012277	0.012375	0.012352	0.012268	0.012208	0.01229	0.012364	0.012335	0.012327	0.012294	0.012223	0.010888	0.012324	0.012343	0.012321	0.012318	0.012173	0.012302	0.012285	0.012451	0.012253	0.011578	0.012451	0.011982	0.012363	0.012586	0.012462	0.011226	0.01105	0.012326	0.011228	0.012373	0.011603	0.011755	0.012394	0.012609	0.0079323	0.012267	0.012314	0.012302	0.012285	0.012381	0.012436	0.012324                                                                         
IL4R   	0.011997	0.011172	0.011798	0.0072316	0.012519	0.012409	0.012194	0.012319	0.012251	0.012318	0.01227	0.012399	0.012246	0.012453	0.012253	0.012349	0.012326	0.01232	0.011172	0.012585	0.010879	0.011381	0.012386	0.01246	0.012248	0.012208	0.012616	0.011657	0.011582	0.012453	0.012345	0.012359	0.012295	0.012386	0.012327	0.012415	0.012327	0.012374	0.012203	0.012292	0.012462	0.012368	0.012279	0.01225	0.012291	0.01237	0.012353	0.012342	0.012309	0.012235	0.010959	0.012335	0.012385	0.012318	0.01235	0.012166	0.012379	0.012283	0.01239	0.012202	0.011365	0.012394	0.011956	0.012448	0.012472	0.012451	0.011079	0.010879	0.012317	0.011085	0.012487	0.011515	0.011688	0.012395	0.012385	0.0079278	0.012289	0.01232	0.012298	0.012295	0.012392	0.012434	0.012328                                                                            
IL5    	0.01142	0.0097614	0.012019	0.0071259	0.012102	0.012321	0.012174	0.012219	0.012153	0.01223	0.01225	0.01229	0.012172	0.012333	0.01221	0.01226	0.012243	0.012199	0.0097614	0.011887	0.011963	0.012057	0.011885	0.011766	0.012185	0.012162	0.012246	0.011902	0.012107	0.011862	0.01222	0.012261	0.012174	0.012282	0.012198	0.012175	0.012188	0.012118	0.011939	0.012155	0.012132	0.012251	0.012164	0.012609	0.012194	0.012316	0.012204	0.012275	0.012214	0.012172	0.010742	0.012247	0.012205	0.012173	0.012166	0.012273	0.012237	0.012181	0.012038	0.01207	0.011731	0.012344	0.011786	0.012109	0.011937	0.012378	0.012022	0.011963	0.012165	0.012003	0.012111	0.012088	0.012116	0.012227	0.012515	0.015164	0.012141	0.012214	0.012182	0.012157	0.012272	0.012309	0.012227                                                                           
IL5RA  	0.011475	0.0095464	0.011877	0.0067557	0.012146	0.01242	0.012273	0.012354	0.012267	0.012368	0.012354	0.012459	0.012285	0.012567	0.012358	0.012398	0.012398	0.012344	0.0095464	0.011829	0.011607	0.011878	0.012098	0.011973	0.012421	0.012321	0.01358	0.011706	0.012011	0.012065	0.012348	0.012332	0.012293	0.012371	0.01232	0.012245	0.012314	0.01224	0.012041	0.012275	0.012228	0.012406	0.012291	0.0123	0.012301	0.012391	0.012325	0.012375	0.012403	0.01238	0.011388	0.012378	0.012588	0.012302	0.012379	0.012237	0.012754	0.012337	0.0123	0.012189	0.011401	0.012329	0.011897	0.012194	0.012157	0.012403	0.011721	0.011607	0.012332	0.011738	0.012191	0.011969	0.012059	0.01233	0.012214	0.0082443	0.012401	0.012315	0.01228	0.012295	0.012423	0.012411	0.012374                                                                             
IL9    	0.011492	0.0097725	0.012014	0.0075691	0.012276	0.01235	0.012216	0.012301	0.012241	0.012308	0.012287	0.012349	0.012247	0.012389	0.01227	0.012322	0.012306	0.012281	0.0097725	0.012145	0.011675	0.011899	0.012453	0.012554	0.012371	0.012235	0.012438	0.011916	0.011984	0.012519	0.012301	0.012312	0.012229	0.012333	0.012285	0.012319	0.012279	0.012331	0.012029	0.012251	0.012287	0.012332	0.012246	0.012304	0.01227	0.012344	0.012291	0.012317	0.012293	0.012255	0.011071	0.012312	0.012345	0.012285	0.012283	0.012181	0.012337	0.012286	0.012411	0.012252	0.011747	0.012333	0.011955	0.012282	0.012491	0.01239	0.011762	0.011675	0.012294	0.011769	0.012276	0.011952	0.012027	0.012321	0.012305	0.0080106	0.01226	0.012282	0.012259	0.01226	0.012342	0.012377	0.012308                                                                        
KIT    	0.011213	0.0090673	0.012275	0.0074545	0.011893	0.012126	0.012074	0.012174	0.012228	0.012152	0.012055	0.012164	0.012147	0.012031	0.012148	0.012153	0.012145	0.012226	0.0090673	0.011522	0.01031	0.010974	0.015454	0.017192	0.011816	0.01219	0.012562	0.01224	0.011229	0.016237	0.012241	0.012245	0.01204	0.012192	0.012239	0.012324	0.012249	0.013088	0.011966	0.012239	0.012071	0.012269	0.012161	0.011583	0.012246	0.012124	0.01222	0.012177	0.012238	0.012254	0.010671	0.012195	0.012627	0.012451	0.01239	0.012038	0.0123	0.012411	0.014198	0.013006	0.012222	0.012142	0.012201	0.012117	0.01545	0.012101	0.010561	0.01031	0.012226	0.010586	0.011953	0.011154	0.011399	0.012138	0.011963	0.0069153	0.012287	0.012159	0.012243	0.012268	0.012252	0.012195	0.012185                                                                            
