       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL24  	0.01346	0.013657	0.011464	0.0065062	0.010408	0.012601	0.012614	0.012532	0.012473	0.012685	0.013212	0.012943	0.012636	0.013549	0.012823	0.012869	0.012889	0.012526	0.0098002	0.013323	0.013088	0.011391	0.010748	0.012505	0.012554	0.012569	0.011097	0.013089	0.010056	0.012587	0.012552	0.01316	0.012532	0.012551	0.012537	0.012445	0.012582	0.012678	0.012504	0.012688	0.012623	0.012475	0.012465	0.012506	0.012481	0.012577	0.012601	0.012583	0.012563	0.010334	0.012589	0.012449	0.012498	0.012573	0.012453	0.012663	0.012499	0.011834	0.012045	0.010748	0.012569	0.011915	0.010429	0.011559	0.012361	0.0086801	0.013323	0.012486	0.013233	0.0098306	0.013058	0.012938	0.012606	0.01239	0.0086801	0.012476	0.012543	0.012574	0.012482	0.012489	0.012371	0.012564                                                                     
CCL26  	0.012209	0.011654	0.01167	0.0066927	0.010709	0.012837	0.012591	0.012666	0.012594	0.012823	0.012943	0.01346	0.012624	0.013778	0.012848	0.013028	0.012969	0.012686	0.010128	0.011275	0.011858	0.011624	0.011021	0.012779	0.012534	0.01281	0.011325	0.012129	0.01083	0.012756	0.012757	0.012698	0.012755	0.012705	0.012773	0.012598	0.01275	0.012633	0.012623	0.013047	0.012809	0.012626	0.012595	0.012645	0.012731	0.012732	0.012759	0.012685	0.012604	0.010695	0.012745	0.012628	0.012643	0.012705	0.012513	0.012786	0.012581	0.012026	0.012199	0.011021	0.012804	0.012076	0.010721	0.012199	0.012689	0.0087666	0.011275	0.012684	0.011523	0.010145	0.011929	0.012123	0.012823	0.012699	0.0087666	0.012649	0.012645	0.012752	0.012636	0.012757	0.012693	0.012726                                                                         
CCL5   	0.012069	0.011776	0.012217	0.0091723	0.010463	0.012592	0.012548	0.012458	0.012438	0.01258	0.012636	0.012624	0.01254	0.012829	0.012583	0.012614	0.012599	0.012528	0.0098787	0.012919	0.012789	0.012193	0.011986	0.012717	0.012536	0.012666	0.012111	0.012757	0.0098489	0.012543	0.012524	0.012447	0.012551	0.012529	0.012576	0.012437	0.012532	0.012457	0.012432	0.012557	0.012583	0.012485	0.012581	0.012511	0.012609	0.012541	0.012583	0.012552	0.012552	0.011117	0.012569	0.012545	0.012449	0.012474	0.012373	0.012613	0.012516	0.012336	0.012382	0.011986	0.012523	0.012238	0.010513	0.011398	0.012587	0.0083451	0.012919	0.012596	0.012883	0.0098611	0.01278	0.01272	0.012624	0.012336	0.0083451	0.012501	0.012417	0.012532	0.012511	0.012604	0.012593	0.012561                                                                     
CCL8   	0.011548	0.010938	0.011274	0.0060547	0.010452	0.012953	0.01274	0.012971	0.012786	0.013258	0.013549	0.013778	0.012829	0.022366	0.013635	0.014229	0.014093	0.01274	0.0096124	0.010726	0.01156	0.011214	0.010404	0.013459	0.012608	0.012908	0.010826	0.012055	0.0087718	0.012899	0.012664	0.012961	0.012697	0.012769	0.012365	0.012606	0.012718	0.012548	0.012639	0.01278	0.012761	0.012733	0.012197	0.012632	0.012346	0.012764	0.012675	0.012737	0.01269	0.012136	0.012718	0.012627	0.012659	0.012694	0.012544	0.012992	0.01263	0.011826	0.012099	0.010404	0.012645	0.012006	0.010488	0.010882	0.012359	0.0072947	0.010726	0.012769	0.011071	0.0098688	0.011673	0.011943	0.012728	0.012014	0.0072947	0.013214	0.012981	0.012775	0.012632	0.012577	0.01235	0.012863                                                                        
CCR3   	0.012574	0.012372	0.011856	0.0071879	0.010632	0.012668	0.012576	0.012555	0.012494	0.012693	0.012823	0.012848	0.012583	0.013635	0.012731	0.012809	0.012795	0.012571	0.010062	0.012505	0.012565	0.011809	0.011381	0.01288	0.012541	0.012807	0.011617	0.012629	0.010101	0.012615	0.012582	0.01271	0.012598	0.012581	0.012603	0.012484	0.012598	0.012573	0.012498	0.012718	0.01265	0.012521	0.012564	0.01254	0.012571	0.012603	0.012632	0.0126	0.012576	0.010892	0.012614	0.012565	0.012509	0.01257	0.012423	0.012711	0.01253	0.012119	0.012238	0.011381	0.012593	0.012052	0.010683	0.011621	0.012556	0.0084274	0.012505	0.012589	0.012544	0.010081	0.012575	0.01258	0.01267	0.012394	0.0084274	0.012575	0.012525	0.012601	0.012527	0.012619	0.012565	0.012626                                                                              
CCR4   	0.011797	0.011293	0.011803	0.0073126	0.010634	0.012827	0.012595	0.012673	0.012585	0.012837	0.012869	0.013028	0.012614	0.014229	0.012809	0.012996	0.012932	0.01268	0.010009	0.011483	0.011963	0.011765	0.011251	0.013232	0.012537	0.012727	0.011518	0.0122	0.0099836	0.012744	0.012723	0.012551	0.012756	0.012686	0.012721	0.01258	0.01271	0.012558	0.012563	0.012788	0.012754	0.012648	0.012788	0.012631	0.012786	0.012709	0.012757	0.012665	0.012597	0.011405	0.012734	0.012614	0.012586	0.012601	0.012487	0.012738	0.012578	0.012103	0.012256	0.011251	0.012751	0.012144	0.010727	0.011544	0.012811	0.0085627	0.011483	0.012759	0.011694	0.010038	0.012033	0.012191	0.012839	0.012593	0.0085627	0.012706	0.012607	0.012722	0.012621	0.012795	0.012807	0.012761                                                                        
CCR8   	0.012788	0.012693	0.011843	0.007143	0.010521	0.012748	0.012581	0.012622	0.012542	0.012787	0.012889	0.012969	0.012599	0.014093	0.012795	0.012932	0.01291	0.012622	0.0098897	0.011708	0.012085	0.0118	0.011342	0.013184	0.012525	0.012763	0.011588	0.012293	0.009938	0.012683	0.012642	0.012842	0.012666	0.012631	0.012624	0.012525	0.012653	0.012648	0.01252	0.012709	0.012693	0.012588	0.012615	0.012584	0.012629	0.012657	0.012679	0.012623	0.012576	0.01134	0.012663	0.012588	0.012548	0.012609	0.012453	0.012726	0.012547	0.012122	0.012251	0.011342	0.012656	0.012087	0.010606	0.011509	0.012645	0.0085092	0.011708	0.012674	0.011881	0.0099221	0.012146	0.012266	0.012756	0.012447	0.0085092	0.012663	0.012568	0.012665	0.012568	0.012687	0.012655	0.012701                                                                        
CD40LG 	0.011578	0.010981	0.012047	0.0091466	0.010676	0.012992	0.012498	0.012564	0.012528	0.012696	0.012526	0.012686	0.012528	0.01274	0.012571	0.01268	0.012622	0.012766	0.01004	0.011196	0.011749	0.012038	0.011665	0.012897	0.012504	0.012827	0.011835	0.011967	0.010105	0.012775	0.012763	0.012275	0.012973	0.012707	0.01282	0.012628	0.01272	0.012532	0.012523	0.012776	0.012732	0.012637	0.012558	0.012636	0.012828	0.012724	0.012703	0.01268	0.012576	0.011435	0.0127	0.012715	0.012584	0.012576	0.012429	0.012684	0.012564	0.012266	0.012357	0.011665	0.012825	0.012325	0.010664	0.011614	0.013625	0.0083147	0.011196	0.012746	0.011443	0.010058	0.011822	0.012033	0.012884	0.012708	0.0083147	0.012636	0.012522	0.012751	0.012634	0.013255	0.013684	0.012759                                                                            
CHIA   	0.0071518	0.006433	0.0072929	0.0041312	0.066181	0.0096801	0.0096152	0.013131	0.012429	0.010257	0.0098002	0.010128	0.0098787	0.0096124	0.010062	0.010009	0.0098897	0.01004	0.086437	0.0064464	0.0082735	0.0072677	0.0061222	0.0093481	0.0096232	0.0083631	0.0065982	0.0080376	0.0058998	0.010115	0.0098896	0.0091012	0.0097732	0.010037	0.010208	0.012198	0.010309	0.0099282	0.012174	0.010367	0.010066	0.00984	0.0080783	0.010077	0.0087028	0.0098791	0.009496	0.009821	0.0095431	0.0062839	0.0098494	0.0088275	0.0096963	0.009677	0.0095054	0.0090507	0.0099018	0.0079188	0.0086363	0.0061222	0.009557	0.0093476	0.066114	0.0082402	0.0090011	0.0041362	0.0064464	0.0092388	0.0068805	0.079924	0.0076992	0.0081523	0.0092426	0.0080706	0.0041362	0.0094016	0.013697	0.010048	0.0099653	0.0089298	0.008554	0.010005                     
CLC    	0.0083879	0.0075547	0.0098745	0.0045206	0.0072419	0.010514	0.013086	0.011337	0.011336	0.011385	0.013323	0.011275	0.012919	0.010726	0.012505	0.011483	0.011708	0.011196	0.0064464	0.041262	0.029613	0.009566	0.0085935	0.0096801	0.01336	0.011342	0.009298	0.025263	0.0063955	0.010985	0.01067	0.011169	0.010558	0.011186	0.0099417	0.011029	0.010828	0.01068	0.011695	0.010397	0.011154	0.011077	0.010708	0.011188	0.010157	0.011144	0.011252	0.012045	0.012742	0.0073417	0.011314	0.011222	0.011326	0.011121	0.011983	0.011957	0.01212	0.010429	0.010906	0.0085935	0.010462	0.010555	0.0072485	0.0086265	0.0095179	0.006264	0.04035	0.010609	0.035874	0.006411	0.028073	0.024021	0.010234	0.0095687	0.006264	0.011037	0.011567	0.01081	0.011266	0.010282	0.009624	0.011225                                                             
CLCA1  	0.0095938	0.0088412	0.010686	0.0055155	0.0088971	0.011385	0.012889	0.011825	0.011807	0.011884	0.013088	0.011858	0.012789	0.01156	0.012565	0.011963	0.012085	0.011749	0.0082735	0.029613	0.023031	0.010483	0.0097263	0.010801	0.013053	0.011894	0.010243	0.020322	0.0077869	0.011633	0.01144	0.011624	0.011377	0.011749	0.011061	0.011629	0.011548	0.011382	0.012039	0.011384	0.011778	0.011654	0.011446	0.011739	0.01114	0.011732	0.011821	0.01228	0.012689	0.0086641	0.01185	0.011758	0.011795	0.011683	0.012151	0.012253	0.012302	0.011117	0.01145	0.0097263	0.011319	0.011162	0.0088783	0.0098242	0.010725	0.0068739	0.029613	0.011392	0.026833	0.0082528	0.02203	0.019556	0.011205	0.010675	0.0068739	0.011627	0.011964	0.011529	0.011787	0.011215	0.010785	0.011778                                                                
CMA1   	0.0094912	0.008534	0.021889	0.011719	0.0081058	0.011545	0.012519	0.011725	0.012169	0.011797	0.011391	0.011624	0.012193	0.011214	0.011809	0.011765	0.0118	0.012038	0.0072677	0.009566	0.010483	0.022131	0.027869	0.01104	0.012606	0.012444	0.025235	0.010957	0.0086905	0.011807	0.011609	0.011079	0.011599	0.012053	0.011138	0.011852	0.011702	0.011505	0.011763	0.011446	0.011989	0.011901	0.01129	0.012489	0.011415	0.011897	0.011907	0.012052	0.01261	0.0095324	0.011935	0.01327	0.012233	0.012127	0.011921	0.012275	0.012846	0.018771	0.016633	0.027869	0.011451	0.013393	0.0082406	0.010297	0.011136	0.0064617	0.009566	0.012226	0.010063	0.0071884	0.010774	0.011153	0.011564	0.010872	0.0064617	0.012379	0.011519	0.011752	0.012555	0.011712	0.011227	0.011871                                                                    
CPA3   	0.0084836	0.0073867	0.027637	0.0080251	0.0070212	0.010856	0.012526	0.011287	0.011955	0.011315	0.010748	0.011021	0.011986	0.010404	0.011381	0.011251	0.011342	0.011665	0.0061222	0.0085935	0.0097263	0.027869	0.038069	0.010168	0.012664	0.012223	0.032983	0.010353	0.0072794	0.01131	0.01099	0.010446	0.01095	0.011704	0.010233	0.011445	0.011149	0.010962	0.011332	0.010689	0.011544	0.011482	0.010536	0.012427	0.010657	0.011458	0.011444	0.01172	0.012638	0.0086097	0.011502	0.013631	0.012045	0.011884	0.011671	0.012031	0.013018	0.022591	0.019117	0.037157	0.010732	0.013518	0.0072103	0.0092649	0.010163	0.0058066	0.0085935	0.011735	0.00923	0.0060284	0.010139	0.010625	0.010798	0.0098926	0.0058066	0.012265	0.011	0.011223	0.012461	0.01107	0.010298	0.011426                                                                
CRLF2  	0.0101	0.0091962	0.011073	0.0058292	0.010042	0.012899	0.012607	0.014463	0.012773	0.015297	0.012505	0.012779	0.012717	0.013459	0.01288	0.013232	0.013184	0.012897	0.0093481	0.0096801	0.010801	0.01104	0.010168	0.036511	0.012544	0.012857	0.010589	0.011299	0.0083355	0.01293	0.012494	0.01196	0.012684	0.012757	0.012032	0.012519	0.012542	0.012236	0.012566	0.012266	0.012696	0.012742	0.012129	0.012546	0.012284	0.0128	0.012952	0.01268	0.012677	0.012629	0.013059	0.012619	0.012598	0.012459	0.012441	0.012826	0.012708	0.01174	0.012019	0.010168	0.012385	0.011907	0.01082	0.010472	0.012532	0.006909	0.0096801	0.012731	0.01016	0.0093671	0.010991	0.011413	0.012563	0.011562	0.006909	0.013848	0.01262	0.012663	0.012541	0.012703	0.013225	0.01513                                                                              
CSF2   	0.011558	0.011036	0.012636	0.008525	0.010238	0.012542	0.012567	0.012403	0.012406	0.012519	0.012554	0.012534	0.012536	0.012608	0.012541	0.012537	0.012525	0.012504	0.0096232	0.01336	0.013053	0.012606	0.012664	0.012544	0.012585	0.01289	0.012671	0.012948	0.0098032	0.012496	0.01247	0.012237	0.0125	0.012498	0.012478	0.012399	0.012475	0.012346	0.012401	0.012504	0.012554	0.012455	0.012474	0.012501	0.012552	0.012506	0.012543	0.012555	0.012598	0.011288	0.012537	0.012627	0.012435	0.012456	0.012358	0.012668	0.012547	0.012626	0.012569	0.012664	0.012459	0.012215	0.010264	0.011377	0.012516	0.0081783	0.01336	0.012541	0.01327	0.0096043	0.013024	0.012906	0.012542	0.012247	0.0081783	0.01251	0.012362	0.012483	0.012506	0.012574	0.012532	0.012522                                                                          
CSF3R  	0.011525	0.010452	0.012498	0.006622	0.0092483	0.012878	0.012698	0.012571	0.012586	0.012745	0.012569	0.01281	0.012666	0.012908	0.012807	0.012727	0.012763	0.012827	0.0083631	0.011342	0.011894	0.012444	0.012223	0.012857	0.01289	0.01733	0.012353	0.012215	0.0095676	0.012749	0.012636	0.012265	0.012722	0.012739	0.012408	0.012605	0.012654	0.012508	0.012567	0.012817	0.012867	0.012686	0.012215	0.01268	0.012403	0.012789	0.012717	0.012977	0.013122	0.012334	0.012723	0.013718	0.012654	0.01302	0.012504	0.014062	0.012808	0.012855	0.012741	0.012223	0.012561	0.012246	0.0092604	0.011671	0.012619	0.0073849	0.011342	0.012763	0.011673	0.0083212	0.012031	0.012284	0.012713	0.011986	0.0073849	0.013136	0.012482	0.012738	0.012776	0.013	0.012677	0.012807                                                                        
CYSLTR1	0.0090032	0.0079884	0.025047	0.0079884	0.0074748	0.011162	0.012591	0.01151	0.012064	0.011561	0.011097	0.011325	0.012111	0.010826	0.011617	0.011518	0.011588	0.011835	0.0065982	0.009298	0.010243	0.025235	0.032983	0.010589	0.012671	0.012353	0.029852	0.010777	0.0076279	0.011541	0.011267	0.010792	0.011232	0.011869	0.010612	0.011628	0.011403	0.011222	0.011539	0.011015	0.011762	0.011685	0.011128	0.012469	0.011006	0.011668	0.01171	0.01189	0.012657	0.0089755	0.011725	0.013481	0.012136	0.012008	0.011816	0.012182	0.012965	0.020869	0.017997	0.032983	0.011044	0.013319	0.0076515	0.0095968	0.010542	0.0061428	0.009298	0.011944	0.0098353	0.0065151	0.0106	0.010997	0.011135	0.010276	0.0061428	0.012331	0.011255	0.011466	0.012503	0.011332	0.01066	0.011647                                                                
EPX    	0.01034	0.0097197	0.011128	0.0059192	0.0087815	0.011707	0.012843	0.011994	0.011978	0.012102	0.013089	0.012129	0.012757	0.012055	0.012629	0.0122	0.012293	0.011967	0.0080376	0.025263	0.020322	0.010957	0.010353	0.011299	0.012948	0.012215	0.010777	0.018394	0.008111	0.011886	0.011734	0.01194	0.011684	0.011965	0.01137	0.011828	0.011806	0.01168	0.012136	0.011631	0.012005	0.011889	0.011899	0.011957	0.011533	0.011961	0.012062	0.012375	0.01269	0.009194	0.012062	0.01201	0.011984	0.011915	0.012269	0.012418	0.012381	0.011473	0.011726	0.010353	0.011646	0.011414	0.0088094	0.010104	0.011156	0.0079237	0.025263	0.011723	0.023201	0.0080188	0.019638	0.017796	0.011577	0.011139	0.0079237	0.011887	0.012073	0.011802	0.011994	0.01157	0.011214	0.012002                                                                        
FCER1A 	0.0083818	0.0069575	0.0081197	0.0037197	0.0061988	0.0092669	0.0097934	0.0098539	0.0098677	0.0099165	0.010056	0.01083	0.0098489	0.0087718	0.010101	0.0099836	0.009938	0.010105	0.0058998	0.0063955	0.0077869	0.0086905	0.0072794	0.0083355	0.0098032	0.0095676	0.0076279	0.008111	0.18786	0.010119	0.010359	0.0095355	0.010036	0.010157	0.0094009	0.010029	0.010239	0.010035	0.01199	0.011484	0.010796	0.0098829	0.0083078	0.010025	0.008837	0.010267	0.010236	0.010292	0.0099238	0.0064503	0.010182	0.010199	0.015151	0.01302	0.0097021	0.0097499	0.010062	0.0093725	0.0093374	0.0072794	0.010255	0.0091347	0.0061561	0.080219	0.0091213	0.0041895	0.0063955	0.0098357	0.0068585	0.005391	0.0077161	0.0086661	0.0094748	0.010355	0.0041895	0.0099004	0.0099331	0.010318	0.010157	0.010109	0.010033	0.010071                             
FOXP3  	0.011945	0.011504	0.011835	0.0075446	0.010745	0.01299	0.012511	0.012601	0.012555	0.012737	0.012587	0.012756	0.012543	0.012899	0.012615	0.012744	0.012683	0.012775	0.010115	0.010985	0.011633	0.011807	0.01131	0.01293	0.012496	0.012749	0.011541	0.011886	0.010119	0.012829	0.012855	0.012423	0.013007	0.012751	0.013061	0.012673	0.012808	0.01265	0.012566	0.012848	0.012776	0.012695	0.012649	0.012675	0.012955	0.012778	0.012751	0.012701	0.012572	0.011773	0.012749	0.012684	0.012616	0.012618	0.012464	0.012683	0.012569	0.012124	0.012264	0.01131	0.012935	0.012193	0.01071	0.01165	0.013651	0.0083437	0.010985	0.012816	0.011265	0.010122	0.011713	0.011956	0.013029	0.012978	0.0083437	0.012668	0.012574	0.012819	0.012649	0.013237	0.013561	0.012781                                                                           
GATA3  	0.011748	0.011175	0.011663	0.00715	0.010568	0.013073	0.012492	0.012568	0.012548	0.012695	0.012552	0.012757	0.012524	0.012664	0.012582	0.012723	0.012642	0.012763	0.0098896	0.01067	0.01144	0.011609	0.01099	0.012494	0.01247	0.012636	0.011267	0.011734	0.010359	0.012855	0.013269	0.012349	0.013065	0.012791	0.013046	0.012691	0.012879	0.012678	0.012595	0.012924	0.012825	0.012775	0.012734	0.01278	0.013961	0.012877	0.012815	0.012701	0.012544	0.011565	0.012901	0.012624	0.012694	0.012641	0.012574	0.012647	0.012563	0.011984	0.012175	0.01099	0.013583	0.012143	0.010471	0.011813	0.013284	0.0086337	0.01067	0.012871	0.010992	0.0099051	0.011539	0.011829	0.013232	0.015551	0.0086337	0.012635	0.012605	0.012951	0.012664	0.013071	0.013221	0.012749                                                                           
GPR44  	0.024307	0.029204	0.011158	0.0062923	0.0098371	0.012297	0.012389	0.012239	0.012273	0.012406	0.01316	0.012698	0.012447	0.012961	0.01271	0.012551	0.012842	0.012275	0.0091012	0.011169	0.011624	0.011079	0.010446	0.01196	0.012237	0.012265	0.010792	0.01194	0.0095355	0.012423	0.012349	0.016296	0.012263	0.012374	0.0127	0.012289	0.012547	0.014116	0.012292	0.012457	0.012366	0.012284	0.012129	0.012363	0.012118	0.012435	0.012295	0.012298	0.012218	0.0099116	0.012285	0.012164	0.012337	0.012855	0.012251	0.012384	0.012213	0.011558	0.011752	0.010446	0.012289	0.011631	0.0098085	0.011241	0.011977	0.0081939	0.011169	0.012207	0.011363	0.0091843	0.011722	0.011864	0.012614	0.011966	0.0081939	0.012204	0.012406	0.012487	0.012198	0.012136	0.011944	0.012238                                                                    
ICOS   	0.01145	0.010808	0.011629	0.0071911	0.010541	0.013356	0.012489	0.012621	0.012577	0.012773	0.012532	0.012755	0.012551	0.012697	0.012598	0.012756	0.012666	0.012973	0.0097732	0.010558	0.011377	0.011599	0.01095	0.012684	0.0125	0.012722	0.011232	0.011684	0.010036	0.013007	0.013065	0.012263	0.01341	0.012876	0.013066	0.012798	0.012909	0.01266	0.012604	0.012915	0.012848	0.012772	0.012594	0.012747	0.01309	0.012911	0.012814	0.012808	0.012599	0.011482	0.012819	0.012787	0.012715	0.012652	0.01253	0.012687	0.012599	0.012005	0.012198	0.01095	0.013275	0.012188	0.010417	0.011588	0.014763	0.0083902	0.010558	0.012811	0.010903	0.0098267	0.011475	0.011799	0.013156	0.01367	0.0083902	0.012699	0.012634	0.012979	0.012711	0.013879	0.014726	0.012904                                                                            
IFNG   	0.011884	0.011405	0.01207	0.008496	0.010651	0.012874	0.012514	0.012549	0.012528	0.012675	0.012551	0.012705	0.012529	0.012769	0.012581	0.012686	0.012631	0.012707	0.010037	0.011186	0.011749	0.012053	0.011704	0.012757	0.012498	0.012739	0.011869	0.011965	0.010157	0.012751	0.012791	0.012374	0.012876	0.012711	0.013168	0.012626	0.012775	0.01261	0.012548	0.013006	0.012751	0.012649	0.012731	0.012653	0.012919	0.012725	0.012734	0.012659	0.012563	0.011499	0.012718	0.012659	0.012585	0.0126	0.012436	0.012663	0.012564	0.012271	0.012359	0.011704	0.012857	0.012272	0.010624	0.01168	0.013285	0.0082433	0.011186	0.012765	0.011432	0.010026	0.011818	0.012026	0.012932	0.012912	0.0082433	0.01262	0.012531	0.012756	0.012633	0.013031	0.01322	0.01271                                                                             
IFNGR2 	0.013242	0.013222	0.011192	0.0070185	0.010901	0.012982	0.012438	0.012595	0.012673	0.012691	0.012537	0.012773	0.012576	0.012365	0.012603	0.012721	0.012624	0.01282	0.010208	0.0099417	0.011061	0.011138	0.010233	0.012032	0.012478	0.012408	0.010612	0.01137	0.0094009	0.013061	0.013046	0.0127	0.013066	0.013168	0.02205	0.013293	0.014288	0.013768	0.013011	0.013203	0.012967	0.012852	0.012214	0.012968	0.012891	0.013037	0.012819	0.012784	0.012546	0.010525	0.012851	0.012506	0.012669	0.012791	0.012469	0.012567	0.012601	0.011659	0.011991	0.010233	0.013	0.012235	0.010553	0.011579	0.01334	0.0071485	0.0099417	0.012774	0.010375	0.0099739	0.011104	0.011508	0.013465	0.012433	0.0071485	0.012593	0.012739	0.013192	0.012829	0.013015	0.012892	0.012711                                                                         
IL10   	0.011854	0.011418	0.011866	0.0089195	0.012506	0.012787	0.012401	0.012545	0.012516	0.012575	0.012445	0.012598	0.012437	0.012606	0.012484	0.01258	0.012525	0.012628	0.012198	0.011029	0.011629	0.011852	0.011445	0.012519	0.012399	0.012605	0.011628	0.011828	0.010029	0.012673	0.012691	0.012289	0.012798	0.012626	0.013293	0.012634	0.012727	0.012558	0.012524	0.012736	0.012647	0.01256	0.012438	0.012568	0.012772	0.012632	0.012595	0.012566	0.012458	0.011517	0.012609	0.012533	0.012483	0.012497	0.012333	0.012538	0.012467	0.012094	0.012215	0.011445	0.012736	0.012219	0.012332	0.011568	0.01326	0.0081549	0.011029	0.012647	0.011281	0.012201	0.011677	0.011893	0.012817	0.012681	0.0081549	0.012511	0.012558	0.012674	0.012546	0.012943	0.013143	0.012606                                                                       
IL12A  	0.012432	0.012165	0.011743	0.0073647	0.01091	0.012963	0.012495	0.012568	0.012558	0.012681	0.012582	0.01275	0.012532	0.012718	0.012598	0.01271	0.012653	0.01272	0.010309	0.010828	0.011548	0.011702	0.011149	0.012542	0.012475	0.012654	0.011403	0.011806	0.010239	0.012808	0.012879	0.012547	0.012909	0.012775	0.014288	0.012727	0.013006	0.012836	0.012625	0.012951	0.012802	0.012705	0.012687	0.012715	0.01308	0.012796	0.012767	0.012677	0.012542	0.01159	0.01277	0.012605	0.012604	0.012646	0.012466	0.012647	0.012556	0.012042	0.012208	0.011149	0.012937	0.012171	0.010798	0.011778	0.013171	0.0084633	0.010828	0.012791	0.01113	0.010284	0.011621	0.011881	0.013084	0.012942	0.0084633	0.012619	0.01259	0.012855	0.012656	0.012975	0.013055	0.012705                                                                             
IL12B  	0.017734	0.019817	0.011552	0.0072509	0.010552	0.012695	0.012409	0.012398	0.012427	0.012518	0.012678	0.012633	0.012457	0.012548	0.012573	0.012558	0.012648	0.012532	0.0099282	0.01068	0.011382	0.011505	0.010962	0.012236	0.012346	0.012508	0.011222	0.01168	0.010035	0.01265	0.012678	0.014116	0.01266	0.01261	0.013768	0.012558	0.012836	0.01344	0.012477	0.012757	0.012606	0.01254	0.012376	0.012572	0.012727	0.012651	0.012542	0.012505	0.01238	0.011178	0.012553	0.012423	0.012485	0.012743	0.012342	0.012506	0.012396	0.011873	0.012033	0.010962	0.01268	0.011983	0.010468	0.01164	0.01276	0.0080943	0.01068	0.012618	0.010975	0.0099214	0.011473	0.011727	0.012989	0.012568	0.0080943	0.012441	0.012493	0.012718	0.01246	0.012662	0.012657	0.01249                                                                                
IL13   	0.011819	0.01135	0.011782	0.0082773	0.012148	0.012632	0.012419	0.012509	0.012464	0.012543	0.012504	0.012623	0.012432	0.012639	0.012498	0.012563	0.01252	0.012523	0.012174	0.011695	0.012039	0.011763	0.011332	0.012566	0.012401	0.012567	0.011539	0.012136	0.01199	0.012566	0.012595	0.012292	0.012604	0.012548	0.013011	0.012524	0.012625	0.012477	0.01253	0.012927	0.012622	0.01249	0.01256	0.012505	0.012687	0.012559	0.012587	0.012518	0.012443	0.011235	0.012575	0.012458	0.012494	0.012516	0.012306	0.012523	0.012442	0.012034	0.012155	0.011332	0.01261	0.012099	0.01213	0.012785	0.012679	0.0081067	0.011695	0.012556	0.011836	0.011942	0.012045	0.012163	0.012678	0.012513	0.0081067	0.012454	0.012512	0.012581	0.012486	0.012637	0.012653	0.012545                                                                            
IL13RA1	0.012052	0.011127	0.011441	0.0066148	0.010912	0.012917	0.012509	0.012633	0.01259	0.012741	0.012688	0.013047	0.012557	0.01278	0.012718	0.012788	0.012709	0.012776	0.010367	0.010397	0.011384	0.011446	0.010689	0.012266	0.012504	0.012817	0.011015	0.011631	0.011484	0.012848	0.012924	0.012457	0.012915	0.013006	0.013203	0.012736	0.012951	0.012757	0.012927	0.020506	0.013065	0.012667	0.012198	0.012729	0.012633	0.012866	0.012826	0.012789	0.012591	0.010308	0.012812	0.012678	0.012854	0.013132	0.012426	0.012756	0.012626	0.011941	0.012123	0.010689	0.012984	0.012101	0.010707	0.012946	0.012919	0.0070722	0.010397	0.012644	0.010767	0.010367	0.011375	0.011737	0.012961	0.0127	0.0070722	0.012619	0.012909	0.012923	0.012727	0.012938	0.012851	0.012741                                                                        
IL13RA2	0.011697	0.011001	0.012011	0.0074085	0.010649	0.012884	0.012598	0.012612	0.012581	0.012733	0.012623	0.012809	0.012583	0.012761	0.01265	0.012754	0.012693	0.012732	0.010066	0.011154	0.011778	0.011989	0.011544	0.012696	0.012554	0.012867	0.011762	0.012005	0.010796	0.012776	0.012825	0.012366	0.012848	0.012751	0.012967	0.012647	0.012802	0.012606	0.012622	0.013065	0.012981	0.012703	0.013243	0.012719	0.013116	0.012779	0.012958	0.012727	0.012628	0.011044	0.012871	0.012711	0.012648	0.012679	0.01248	0.012775	0.012636	0.01226	0.012368	0.011544	0.012848	0.012228	0.010621	0.012164	0.012975	0.0078316	0.011154	0.012784	0.011425	0.010029	0.011847	0.012069	0.012937	0.012709	0.0078316	0.012649	0.012581	0.012792	0.012723	0.012935	0.012966	0.012771                                                                       
