       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL26  	0.012172	0.012313	0.0072009	0.0032509	0.014036	0.01396	0.014265	0.014112	0.014386	0.014984	0.015896	0.014052	0.016383	0.014482	0.014761	0.01499	0.013903	0.01188	0.010141	0.012225	0.01132	0.014164	0.013754	0.013211	0.011796	0.013543	0.010227	0.014063	0.013946	0.014235	0.013836	0.013924	0.013584	0.013846	0.013971	0.013957	0.013951	0.01414	0.014019	0.013934	0.01324	0.013865	0.013904	0.013953	0.01391	0.013894	0.013815	0.013986	0.013578	0.013822	0.0137	0.013884	0.014048	0.013677	0.012591	0.013042	0.01132	0.014016	0.013233	0.0032509	0.011411	0.012782	0.0096777	0.0049234	0.013922	0.0063142	0.013258	0.013592	0.013966	0.013554	0.013909	0.013862	0.013982	0.013861	0.013792	0.013652	0.014                                                                               
CCL5   	0.012961	0.01328	0.010087	0.0024015	0.013895	0.01382	0.013923	0.01387	0.013989	0.014052	0.014052	0.01384	0.014474	0.013942	0.014017	0.014083	0.013812	0.013392	0.0102	0.013228	0.012916	0.014206	0.013766	0.013789	0.013103	0.013847	0.0099965	0.013855	0.013757	0.013849	0.013796	0.013796	0.013792	0.013767	0.013834	0.013808	0.013703	0.013785	0.013805	0.013808	0.013357	0.013786	0.013904	0.013839	0.013788	0.013799	0.013796	0.013873	0.013741	0.01366	0.013603	0.013707	0.013888	0.013618	0.013386	0.01352	0.012916	0.013846	0.013492	0.0024015	0.011271	0.013375	0.0092087	0.0052244	0.01394	0.0053685	0.013802	0.01381	0.013991	0.013242	0.013839	0.013546	0.013834	0.013798	0.013847	0.013807	0.013879                                                                            
CCL8   	0.011425	0.011686	0.0061445	0.0017295	0.013797	0.014304	0.014979	0.014527	0.015343	0.016383	0.016383	0.014474	0.03917	0.01641	0.017447	0.018302	0.0137	0.010882	0.0085505	0.011565	0.010494	0.015213	0.013731	0.013718	0.011129	0.013494	0.0080865	0.014162	0.013372	0.014977	0.013248	0.013851	0.012457	0.013605	0.013523	0.013637	0.013836	0.013154	0.013419	0.013796	0.011836	0.013566	0.012823	0.013708	0.013373	0.013723	0.0139	0.013421	0.013523	0.01369	0.013381	0.013889	0.01435	0.013489	0.012238	0.012788	0.010494	0.013244	0.012952	0.0017295	0.0096236	0.011544	0.0077079	0.0032367	0.01392	0.00467	0.012756	0.013335	0.013475	0.011885	0.015009	0.013717	0.013678	0.013676	0.012937	0.012614	0.013993                                                                          
CCR3   	0.013521	0.012707	0.0078228	0.0027848	0.013895	0.013953	0.014087	0.013955	0.014189	0.014482	0.014482	0.013942	0.01641	0.014272	0.014389	0.014572	0.013797	0.014307	0.0099185	0.012614	0.01199	0.014394	0.013791	0.013723	0.012354	0.014346	0.0099266	0.013897	0.01375	0.014186	0.013714	0.013805	0.013565	0.013745	0.013813	0.013813	0.013753	0.013842	0.013833	0.013807	0.013133	0.013753	0.013745	0.013835	0.013773	0.01383	0.013815	0.013843	0.013674	0.013687	0.013667	0.013781	0.014021	0.013601	0.012931	0.013227	0.01199	0.013804	0.013228	0.0027848	0.011242	0.012944	0.0093201	0.0047976	0.01388	0.0057419	0.014279	0.014094	0.013883	0.0132	0.013917	0.013633	0.013828	0.013766	0.013698	0.013595	0.013914                                                                        
CCR4   	0.011698	0.012602	0.0079618	0.0023951	0.014046	0.013934	0.014247	0.014089	0.014379	0.014761	0.014761	0.014017	0.017447	0.014389	0.014664	0.014825	0.013924	0.012132	0.0097012	0.012525	0.011788	0.014776	0.013784	0.013517	0.012183	0.01356	0.010036	0.014064	0.013896	0.013974	0.013905	0.013933	0.013822	0.013871	0.01398	0.013945	0.013858	0.013908	0.013907	0.013951	0.013455	0.013863	0.013946	0.013974	0.013916	0.013892	0.013849	0.013981	0.013671	0.013785	0.013629	0.013844	0.014027	0.013664	0.012854	0.013208	0.011788	0.013992	0.013343	0.0023951	0.011255	0.013249	0.0093692	0.0043942	0.014075	0.0054297	0.013338	0.013618	0.014161	0.013394	0.014046	0.013733	0.013987	0.01387	0.013925	0.01385	0.014068                                                                     
CCR8   	0.014434	0.012435	0.0075669	0.0024056	0.013968	0.014017	0.014322	0.014115	0.014477	0.01499	0.01499	0.014083	0.018302	0.014572	0.014825	0.015131	0.013872	0.012448	0.0095571	0.012345	0.011534	0.01488	0.013781	0.013417	0.01199	0.013765	0.0094086	0.014031	0.013818	0.014642	0.013764	0.013891	0.013499	0.013807	0.013886	0.013892	0.013856	0.013844	0.013879	0.013898	0.013116	0.013811	0.013751	0.013909	0.013837	0.01387	0.013839	0.0139	0.013629	0.013756	0.013744	0.013858	0.014075	0.013637	0.012717	0.013115	0.011534	0.01386	0.01326	0.0024056	0.01084	0.012763	0.0094524	0.0042221	0.013996	0.0054503	0.013525	0.013722	0.013979	0.013149	0.014053	0.013752	0.013913	0.01383	0.013735	0.013614	0.014044                                                                           
CD40LG 	0.011277	0.012951	0.010177	0.0028095	0.014365	0.013694	0.013916	0.013902	0.013952	0.013903	0.013903	0.013812	0.0137	0.013797	0.013924	0.013872	0.014134	0.011694	0.0097535	0.012915	0.012373	0.014017	0.01375	0.01401	0.012618	0.013145	0.010104	0.014067	0.013922	0.013447	0.014405	0.013934	0.014096	0.013947	0.014035	0.013946	0.013747	0.013888	0.013921	0.013934	0.013337	0.013877	0.01403	0.014035	0.013846	0.013953	0.013829	0.013965	0.013806	0.013764	0.013584	0.013715	0.013889	0.01365	0.013144	0.013373	0.012373	0.014225	0.013558	0.0028095	0.011355	0.014454	0.0090501	0.0045316	0.01402	0.0057739	0.013	0.013408	0.014268	0.013375	0.013889	0.013665	0.014064	0.013871	0.015156	0.015544	0.01406                                                                             
CLC    	0.0077116	0.01021	0.0043682	0.0010173	0.010792	0.016267	0.012425	0.01235	0.012316	0.01188	0.01188	0.013392	0.010882	0.014307	0.012132	0.012448	0.011694	0.10789	0.0064436	0.0095536	0.0085234	0.010051	0.014805	0.011439	0.0097037	0.044231	0.0059235	0.011403	0.010997	0.012239	0.010628	0.011675	0.0093577	0.011533	0.01102	0.011471	0.011851	0.010315	0.011071	0.011703	0.0099355	0.011679	0.010582	0.011553	0.01176	0.012943	0.013241	0.011653	0.011832	0.011957	0.0115	0.013704	0.012575	0.011772	0.010463	0.01111	0.0085234	0.010346	0.010934	0.0010173	0.0072958	0.008382	0.0072524	0.0020869	0.011386	0.003266	0.049976	0.033762	0.010229	0.0098204	0.01158	0.011515	0.011111	0.011835	0.010189	0.009646	0.011692                                                                   
CLCA1  	0.0068528	0.0085686	0.0047213	0.0012388	0.0094537	0.010008	0.010007	0.01005	0.0096912	0.010141	0.010141	0.0102	0.0085505	0.0099185	0.0097012	0.0095571	0.0097535	0.0064436	0.12232	0.0091069	0.007751	0.0089417	0.010041	0.0088422	0.0080889	0.0084653	0.0056145	0.010036	0.0099789	0.0091185	0.0094759	0.010148	0.00898	0.0102	0.0097435	0.010103	0.014108	0.010606	0.011464	0.010184	0.0088869	0.010412	0.009487	0.010395	0.010941	0.010416	0.010223	0.010414	0.0094992	0.0099053	0.010222	0.0098664	0.010567	0.015243	0.0087684	0.0095261	0.007751	0.0095527	0.009647	0.0012388	0.006937	0.0082434	0.0048532	0.19241	0.0094079	0.0033226	0.0082136	0.0090314	0.0094568	0.0082674	0.0099355	0.01006	0.01004	0.010165	0.0090658	0.0088475	0.010474                                         
CMA1   	0.0088162	0.024293	0.01175	0.0014524	0.012375	0.013351	0.012685	0.012983	0.012586	0.012225	0.012225	0.013228	0.011565	0.012614	0.012525	0.012345	0.012915	0.0095536	0.0091069	0.024415	0.03089	0.011814	0.013823	0.013727	0.027953	0.011817	0.0087244	0.012639	0.012327	0.01197	0.012168	0.012914	0.011479	0.012802	0.012394	0.012563	0.012731	0.012096	0.012595	0.012793	0.010962	0.013564	0.012153	0.012798	0.012518	0.012951	0.013868	0.012705	0.01487	0.013179	0.012555	0.012943	0.013093	0.013588	0.022311	0.019275	0.03089	0.012144	0.014004	0.0014524	0.0098229	0.010727	0.0068966	0.0042893	0.012955	0.0039954	0.011666	0.012393	0.012223	0.011244	0.013654	0.012328	0.012568	0.013671	0.011984	0.011767	0.012766                                                                   
CPA3   	0.0075024	0.030848	0.0073317	0.0010635	0.011517	0.013187	0.012054	0.012467	0.011881	0.01132	0.01132	0.012916	0.010494	0.01199	0.011788	0.011534	0.012373	0.0085234	0.007751	0.03089	0.042304	0.01078	0.013906	0.013663	0.036722	0.011132	0.0071524	0.011947	0.011496	0.011177	0.01123	0.012409	0.010197	0.012231	0.011565	0.011848	0.012146	0.011086	0.011835	0.012192	0.0097003	0.013445	0.011184	0.012196	0.011803	0.012475	0.013947	0.012036	0.015542	0.012902	0.011981	0.012585	0.012653	0.013552	0.027632	0.02272	0.041392	0.011147	0.013733	0.0010635	0.0084139	0.0093379	0.0061398	0.0028588	0.012187	0.0033622	0.010985	0.011877	0.011107	0.010043	0.013601	0.011661	0.01183	0.013536	0.010875	0.01056	0.012167                                                                     
CRLF2  	0.0097594	0.011911	0.0062571	0.0016559	0.014068	0.014004	0.016645	0.014326	0.017463	0.014164	0.014164	0.014206	0.015213	0.014394	0.014776	0.01488	0.014017	0.010051	0.0089417	0.011814	0.01078	0.039036	0.013859	0.014149	0.011319	0.01264	0.0083077	0.014115	0.013467	0.013435	0.013629	0.013916	0.012602	0.013702	0.013618	0.013675	0.013879	0.013193	0.013523	0.013944	0.01255	0.013738	0.013273	0.014081	0.014198	0.013844	0.014016	0.014235	0.013736	0.01376	0.013345	0.013806	0.014081	0.013732	0.012485	0.012954	0.01078	0.013462	0.013037	0.0016559	0.0097926	0.011861	0.0076009	0.0035549	0.013982	0.0045338	0.012267	0.013053	0.013684	0.011965	0.015273	0.013558	0.013826	0.013741	0.013657	0.014532	0.016848                                                                    
CSF2   	0.011646	0.013899	0.0093104	0.0025113	0.013816	0.013814	0.013777	0.013768	0.013807	0.013754	0.013754	0.013766	0.013731	0.013791	0.013784	0.013781	0.01375	0.014805	0.010041	0.013823	0.013906	0.013859	0.013846	0.014813	0.01392	0.014313	0.010024	0.013741	0.013642	0.013443	0.013669	0.013714	0.01367	0.013689	0.013723	0.013711	0.013608	0.013643	0.013707	0.013724	0.013234	0.013757	0.013836	0.013768	0.013707	0.013775	0.013872	0.013812	0.013969	0.013612	0.013493	0.013666	0.013876	0.013603	0.013918	0.013854	0.013906	0.01371	0.013407	0.0025113	0.011325	0.013139	0.0090409	0.005067	0.013817	0.0054035	0.014426	0.014122	0.013832	0.013075	0.013847	0.013432	0.013733	0.013768	0.013726	0.013676	0.013787                                                                       
CSF3R  	0.010002	0.013933	0.0067359	0.0015814	0.014047	0.013669	0.013741	0.013804	0.013652	0.013211	0.013211	0.013789	0.013718	0.013723	0.013517	0.013417	0.01401	0.011439	0.0088422	0.013727	0.013663	0.014149	0.014813	0.037643	0.013714	0.013212	0.0084612	0.013672	0.013253	0.012834	0.013277	0.01368	0.012575	0.013711	0.01341	0.013572	0.013549	0.0131	0.013584	0.013646	0.011724	0.013693	0.012892	0.013888	0.01332	0.014236	0.015508	0.013579	0.017852	0.0136	0.0137	0.013615	0.014747	0.013778	0.014822	0.014461	0.013663	0.013196	0.013214	0.0015814	0.010193	0.011771	0.0074272	0.0035294	0.01377	0.0043758	0.013105	0.013701	0.013356	0.011756	0.015505	0.013268	0.013628	0.013998	0.013261	0.013013	0.013988                                                                           
CYSLTR1	0.0083158	0.027932	0.0074584	0.0012401	0.011901	0.013369	0.012392	0.012728	0.012261	0.011796	0.011796	0.013103	0.011129	0.012354	0.012183	0.01199	0.012618	0.0097037	0.0080889	0.027953	0.036722	0.011319	0.01392	0.013714	0.033185	0.011793	0.0075409	0.012271	0.011866	0.011654	0.011629	0.012646	0.01071	0.012487	0.011936	0.012178	0.012422	0.011527	0.012174	0.012474	0.010314	0.013516	0.01161	0.012478	0.012166	0.012716	0.013953	0.012358	0.015268	0.013039	0.01226	0.012796	0.012892	0.01358	0.025265	0.021194	0.036722	0.011575	0.01369	0.0012401	0.008837	0.0098598	0.0065402	0.0031221	0.012528	0.0036522	0.011703	0.01234	0.011589	0.010507	0.013653	0.011985	0.012164	0.0136	0.011316	0.011026	0.012464                                                                       
EPX    	0.010531	0.012143	0.0063828	0.0017539	0.012866	0.014926	0.013567	0.01349	0.01358	0.013543	0.013543	0.013847	0.013494	0.014346	0.01356	0.013765	0.013145	0.044231	0.0084653	0.011817	0.011132	0.01264	0.014313	0.013212	0.011793	0.025428	0.0080541	0.013081	0.01286	0.013445	0.012647	0.013126	0.011995	0.013041	0.012892	0.013065	0.013166	0.012556	0.012923	0.01317	0.012321	0.013153	0.012787	0.013126	0.01325	0.013619	0.013756	0.013237	0.013206	0.013145	0.012924	0.013889	0.01367	0.013067	0.012332	0.012703	0.011132	0.012605	0.012531	0.0017539	0.0095308	0.011114	0.0094431	0.003428	0.01312	0.0044976	0.027302	0.021055	0.012632	0.012106	0.013154	0.012938	0.012942	0.013223	0.012432	0.01213	0.013214                                                                          
FCER1A 	0.0095032	0.0080534	0.0035304	0.00097872	0.0090461	0.010044	0.010014	0.010072	0.009972	0.010227	0.010227	0.0099965	0.0080865	0.0099266	0.010036	0.0094086	0.010104	0.0059235	0.0056145	0.0087244	0.0071524	0.0083077	0.010024	0.0084612	0.0075409	0.0080541	0.20121	0.010161	0.010747	0.01005	0.0095547	0.010239	0.0085933	0.010249	0.010164	0.0106	0.010327	0.011979	0.011524	0.0099923	0.0075659	0.010008	0.0088319	0.010078	0.0099884	0.010607	0.010031	0.01008	0.010546	0.0165	0.016245	0.0099059	0.010238	0.010239	0.0090728	0.0093815	0.0071524	0.010396	0.0089794	0.00097872	0.11373	0.007542	0.0041927	0.0018907	0.0099601	0.0029778	0.0077613	0.009361	0.0090312	0.010851	0.010115	0.010265	0.010135	0.010086	0.010423	0.010372	0.010068                                           
FOXP3  	0.01147	0.012694	0.0082264	0.00285	0.014274	0.013737	0.013986	0.013966	0.014042	0.014063	0.014063	0.013855	0.014162	0.013897	0.014064	0.014031	0.014067	0.011403	0.010036	0.012639	0.011947	0.014115	0.013741	0.013672	0.012271	0.013081	0.010161	0.01413	0.014054	0.013568	0.01433	0.014011	0.014655	0.014013	0.014199	0.014077	0.013819	0.014007	0.013996	0.014008	0.01354	0.013919	0.014177	0.014097	0.013921	0.013956	0.013817	0.014028	0.013718	0.013792	0.01365	0.013768	0.013923	0.013686	0.01292	0.013243	0.011947	0.014336	0.01341	0.00285	0.011432	0.014498	0.0091433	0.0048947	0.014188	0.0058409	0.012895	0.013361	0.014645	0.013811	0.01391	0.013735	0.014156	0.013896	0.014719	0.014753	0.014042                                                                              
GATA3  	0.012003	0.012423	0.0077129	0.0030433	0.014184	0.013626	0.013835	0.013864	0.013863	0.013946	0.013946	0.013757	0.013372	0.01375	0.013896	0.013818	0.013922	0.010997	0.0099789	0.012327	0.011496	0.013467	0.013642	0.013253	0.011866	0.01286	0.010747	0.014054	0.014832	0.013561	0.014171	0.013954	0.014325	0.013967	0.014151	0.014035	0.013812	0.014138	0.013988	0.014027	0.013651	0.014008	0.015615	0.014054	0.013964	0.013863	0.013691	0.014341	0.013563	0.013873	0.013726	0.013873	0.013813	0.013624	0.012635	0.01304	0.011496	0.014647	0.013233	0.0030433	0.012013	0.014089	0.0093956	0.0048507	0.013933	0.0060331	0.012669	0.013203	0.014347	0.019511	0.013741	0.013744	0.014182	0.013821	0.014137	0.014064	0.013906                                                                    
GPR44  	0.038277	0.012057	0.0069619	0.0030323	0.013464	0.013852	0.013786	0.013662	0.013866	0.014235	0.014235	0.013849	0.014977	0.014186	0.013974	0.014642	0.013447	0.012239	0.0091185	0.01197	0.011177	0.013435	0.013443	0.012834	0.011654	0.013445	0.01005	0.013568	0.013561	0.018396	0.013285	0.013528	0.012973	0.013464	0.013462	0.013599	0.013515	0.013925	0.013803	0.013464	0.012589	0.013413	0.013264	0.013456	0.013391	0.01358	0.013448	0.013424	0.01335	0.013513	0.014925	0.01356	0.013851	0.013336	0.012326	0.012739	0.011177	0.013448	0.012795	0.0030323	0.01174	0.012172	0.0091652	0.0039244	0.013431	0.0059843	0.013244	0.013419	0.013339	0.01292	0.013504	0.013599	0.013483	0.013393	0.013183	0.013	0.013473                                                                           
ICOS   	0.010697	0.012217	0.0078283	0.0029845	0.014444	0.013586	0.01391	0.01394	0.013928	0.013836	0.013836	0.013796	0.013248	0.013714	0.013905	0.013764	0.014405	0.010628	0.0094759	0.012168	0.01123	0.013629	0.013669	0.013277	0.011629	0.012647	0.0095547	0.01433	0.014171	0.013285	0.015537	0.014254	0.014666	0.014375	0.014333	0.014155	0.013804	0.014011	0.014023	0.014078	0.013307	0.013954	0.014095	0.014248	0.013856	0.01408	0.013768	0.013986	0.013602	0.013825	0.013594	0.013731	0.013796	0.013654	0.012514	0.012979	0.01123	0.014936	0.013373	0.0029845	0.010935	0.020648	0.0088413	0.0041745	0.013998	0.0059949	0.012427	0.013104	0.014605	0.013497	0.013828	0.013833	0.014363	0.013918	0.016268	0.016942	0.014148                                                                      
