       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.17176	0.0088767	0.0041404	0.0015943	0.01076	0.013138	0.0119	0.011756	0.011844	0.012172	0.012172	0.012961	0.011425	0.013521	0.011698	0.014434	0.011277	0.0077116	0.0068528	0.0088162	0.0075024	0.0097594	0.011646	0.010002	0.0083158	0.010531	0.0095032	0.01147	0.012003	0.038277	0.010697	0.011811	0.01005	0.011737	0.011213	0.012131	0.01197	0.013954	0.01329	0.01131	0.0089046	0.011249	0.010191	0.011144	0.010883	0.012102	0.01149	0.010792	0.011846	0.012238	0.021507	0.012089	0.013005	0.011797	0.0094296	0.010227	0.0075024	0.010957	0.010349	0.0015943	0.014056	0.0088811	0.0058085	0.0024259	0.010706	0.0042827	0.010005	0.010914	0.010173	0.0099302	0.011556	0.012846	0.011263	0.011117	0.010144	0.0096131	0.010999                                                              
ALOX5  	0.0088767	0.024357	0.0077492	0.0015073	0.012482	0.013441	0.012757	0.013018	0.012662	0.012313	0.012313	0.01328	0.011686	0.012707	0.012602	0.012435	0.012951	0.01021	0.0085686	0.024293	0.030848	0.011911	0.013899	0.013933	0.027932	0.012143	0.0080534	0.012694	0.012423	0.012057	0.012217	0.012957	0.011537	0.01284	0.012459	0.01262	0.012762	0.012101	0.012611	0.012852	0.011237	0.013652	0.012485	0.012864	0.012635	0.013014	0.01394	0.012855	0.014946	0.013211	0.012585	0.013061	0.01317	0.013615	0.022322	0.019299	0.030848	0.012211	0.013631	0.0015073	0.0093769	0.010757	0.0079679	0.0035236	0.012865	0.0040659	0.012044	0.012618	0.012221	0.01139	0.013719	0.012393	0.012632	0.013681	0.011994	0.011764	0.012842                                                                     
AREG   	0.0041404	0.0077492	0.40366	0.00060997	0.007297	0.0081751	0.008184	0.010742	0.0078882	0.0072009	0.0072009	0.010087	0.0061445	0.0078228	0.0079618	0.0075669	0.010177	0.0043682	0.0047213	0.01175	0.0073317	0.0062571	0.0093104	0.0067359	0.0074584	0.0063828	0.0035304	0.0082264	0.0077129	0.0069619	0.0078283	0.0093108	0.0073143	0.009903	0.0079145	0.008288	0.0093509	0.0072164	0.007507	0.009769	0.0061188	0.0084764	0.0070483	0.0079788	0.0072421	0.0080784	0.0083825	0.0076888	0.0076949	0.0080931	0.0075271	0.0078631	0.0074137	0.0081645	0.0077866	0.0083161	0.0073317	0.007231	0.045772	0.00060997	0.0044167	0.0069274	0.0030539	0.001574	0.01415	0.0020567	0.0061676	0.0071201	0.0087014	0.0056639	0.008034	0.0077803	0.0080206	0.011934	0.0071957	0.0069295	0.007702              
ARG1   	0.0015943	0.0015073	0.00060997	0.33023	0.0034006	0.0025895	0.0027792	0.0024095	0.0022617	0.0032509	0.0032509	0.0024015	0.0017295	0.0027848	0.0023951	0.0024056	0.0028095	0.0010173	0.0012388	0.0014524	0.0010635	0.0016559	0.0025113	0.0015814	0.0012401	0.0017539	0.00097872	0.00285	0.0030433	0.0030323	0.0029845	0.0027783	0.0021571	0.0028071	0.0031227	0.0030346	0.0027998	0.0036153	0.0033851	0.0026943	0.0015383	0.0028049	0.0020467	0.0025509	0.0020761	0.0028043	0.0022647	0.0021438	0.0020707	0.0026035	0.0028447	0.0025718	0.0022146	0.0026634	0.0015695	0.0018471	0.0010635	0.0034515	0.0020567	0.28044	0.0013529	0.0018703	0.00084708	0.00033696	0.0019689	0.21717	0.0016157	0.0019309	0.0021384	0.0017812	0.0022732	0.010259	0.0030642	0.0022683	0.0021568	0.0019454	0.0021874
BCL6   	0.01076	0.012482	0.007297	0.0034006	0.01763	0.013733	0.014044	0.014024	0.014052	0.014036	0.014036	0.013895	0.013797	0.013895	0.014046	0.013968	0.014365	0.010792	0.0094537	0.012375	0.011517	0.014068	0.013816	0.014047	0.011901	0.012866	0.0090461	0.014274	0.014184	0.013464	0.014444	0.01409	0.014164	0.014088	0.014355	0.014174	0.013894	0.014032	0.014082	0.014128	0.013429	0.014062	0.014172	0.014493	0.014012	0.014089	0.013927	0.014094	0.013878	0.013812	0.013671	0.01391	0.014063	0.013762	0.012789	0.013182	0.011517	0.014719	0.013369	0.0034006	0.010606	0.013714	0.0096656	0.0040334	0.014192	0.0065261	0.012649	0.013265	0.014826	0.013435	0.014197	0.014002	0.014607	0.01396	0.014571	0.014552	0.014132                                                                      
CCL11  	0.013138	0.013441	0.0081751	0.0025895	0.013733	0.013934	0.013857	0.013801	0.013915	0.01396	0.01396	0.01382	0.014304	0.013953	0.013934	0.014017	0.013694	0.016267	0.010008	0.013351	0.013187	0.014004	0.013814	0.013669	0.013369	0.014926	0.010044	0.013737	0.013626	0.013852	0.013586	0.013691	0.013441	0.013643	0.013683	0.013689	0.013625	0.013662	0.013696	0.013726	0.013627	0.01371	0.013717	0.013742	0.013788	0.013752	0.013785	0.013792	0.013706	0.013607	0.013555	0.013714	0.013849	0.013566	0.013502	0.013579	0.013187	0.013659	0.01326	0.0025895	0.011334	0.012841	0.0091535	0.0050395	0.013882	0.0054889	0.015132	0.014487	0.013872	0.013078	0.013764	0.013463	0.013706	0.013716	0.013569	0.013478	0.013786                                                                       
CCL17  	0.0119	0.012757	0.008184	0.0027792	0.014044	0.013857	0.014281	0.013987	0.014431	0.014265	0.014265	0.013923	0.014979	0.014087	0.014247	0.014322	0.013916	0.012425	0.010007	0.012685	0.012054	0.016645	0.013777	0.013741	0.012392	0.013567	0.010014	0.013986	0.013835	0.013786	0.01391	0.01388	0.013767	0.013828	0.013917	0.013883	0.013797	0.013888	0.013877	0.013897	0.01338	0.013831	0.013922	0.013951	0.013921	0.013869	0.013836	0.013995	0.013714	0.013737	0.013608	0.013774	0.013969	0.013661	0.012987	0.013277	0.012054	0.013952	0.013328	0.0027792	0.011268	0.013282	0.0092549	0.0048682	0.013994	0.0057363	0.013427	0.013639	0.014071	0.013289	0.014025	0.013656	0.013937	0.013827	0.014022	0.014122	0.014255                                                                        
CCL2   	0.011756	0.013018	0.010742	0.0024095	0.014024	0.013801	0.013987	0.01395	0.014059	0.014112	0.014112	0.01387	0.014527	0.013955	0.014089	0.014115	0.013902	0.01235	0.01005	0.012983	0.012467	0.014326	0.013768	0.013804	0.012728	0.01349	0.010072	0.013966	0.013864	0.013662	0.01394	0.013891	0.014159	0.013871	0.013988	0.013927	0.013768	0.013882	0.013876	0.013913	0.01349	0.013851	0.014043	0.013946	0.013868	0.013853	0.013818	0.013964	0.013739	0.013713	0.013594	0.013737	0.013919	0.01365	0.013182	0.013404	0.012467	0.013996	0.013626	0.0024095	0.011328	0.013636	0.0091927	0.0049309	0.014189	0.0054006	0.013368	0.013594	0.014303	0.01335	0.013897	0.013617	0.013963	0.013871	0.013995	0.013963	0.01396                                                                             
CCL22  	0.011844	0.012662	0.0078882	0.0022617	0.014052	0.013915	0.014431	0.014059	0.014618	0.014386	0.014386	0.013989	0.015343	0.014189	0.014379	0.014477	0.013952	0.012316	0.0096912	0.012586	0.011881	0.017463	0.013807	0.013652	0.012261	0.01358	0.009972	0.014042	0.013863	0.013866	0.013928	0.013922	0.013765	0.013861	0.013953	0.01392	0.013835	0.013848	0.013886	0.013944	0.013389	0.013861	0.01392	0.013994	0.013973	0.013901	0.01387	0.014041	0.013714	0.013776	0.013627	0.013823	0.014014	0.013682	0.012919	0.013247	0.011881	0.013966	0.013333	0.0022617	0.011211	0.01323	0.0093164	0.0043838	0.014064	0.0052718	0.013414	0.013654	0.014135	0.013302	0.014106	0.013683	0.013974	0.013863	0.014019	0.014122	0.014386                                                                      
CCL24  	0.012172	0.012313	0.0072009	0.0032509	0.014036	0.01396	0.014265	0.014112	0.014386	0.015896	0.014984	0.014052	0.016383	0.014482	0.014761	0.01499	0.013903	0.01188	0.010141	0.012225	0.01132	0.014164	0.013754	0.013211	0.011796	0.013543	0.010227	0.014063	0.013946	0.014235	0.013836	0.013924	0.013584	0.013846	0.013971	0.013957	0.013951	0.01414	0.014019	0.013934	0.01324	0.013865	0.013904	0.013953	0.01391	0.013894	0.013815	0.013986	0.013578	0.013822	0.0137	0.013884	0.014048	0.013677	0.012591	0.013042	0.01132	0.014016	0.013233	0.0032509	0.011411	0.012782	0.0096777	0.0049234	0.013922	0.0063142	0.013258	0.013592	0.013966	0.013554	0.013909	0.013862	0.013982	0.013861	0.013792	0.013652	0.014                                                                               
