       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL4    	0.012277	0.012762	0.008192	0.0026102	0.013864	0.013607	0.013777	0.013753	0.013817	0.013867	0.013867	0.013691	0.013741	0.013726	0.013826	0.013795	0.01381	0.011983	0.0099518	0.013326	0.01235	0.013816	0.013636	0.013674	0.012178	0.013171	0.016561	0.013838	0.013919	0.013549	0.013875	0.013758	0.013818	0.013742	0.013836	0.013801	0.013648	0.014033	0.013872	0.013761	0.013343	0.013716	0.013902	0.01382	0.013747	0.01378	0.013705	0.013837	0.013725	0.013889	0.013811	0.013617	0.013793	0.013568	0.013481	0.013283	0.011685	0.013977	0.013258	0.0026102	0.015743	0.013363	0.0088365	0.0049266	0.013835	0.0055414	0.013045	0.013388	0.013965	0.014613	0.013755	0.013526	0.013842	0.013712	0.014178	0.014275	0.013829                                                                  
IL4R   	0.021533	0.012265	0.0075724	0.0028484	0.013713	0.013553	0.013643	0.01363	0.013661	0.013737	0.013737	0.013631	0.013421	0.013701	0.013663	0.013775	0.013625	0.011522	0.010252	0.012799	0.011452	0.013388	0.013525	0.013768	0.011436	0.012948	0.016282	0.01369	0.013765	0.014954	0.013633	0.013683	0.013855	0.01366	0.013746	0.013774	0.013604	0.014625	0.014062	0.013608	0.012818	0.013566	0.013638	0.013672	0.013538	0.013719	0.013593	0.013642	0.013668	0.013811	0.014462	0.013498	0.013872	0.013502	0.013123	0.012947	0.010768	0.013807	0.013029	0.0028484	0.017492	0.013225	0.0087459	0.0053659	0.013605	0.0057787	0.012791	0.01321	0.013711	0.013517	0.013637	0.013542	0.013708	0.013559	0.013683	0.013559	0.013609                                                                  
IL5    	0.012107	0.013007	0.0078661	0.0025754	0.01394	0.013717	0.013798	0.013762	0.013847	0.01391	0.01391	0.013726	0.013915	0.013805	0.013868	0.013881	0.013742	0.013728	0.0098819	0.012981	0.01212	0.013834	0.01369	0.01365	0.012319	0.013913	0.0099208	0.013795	0.013901	0.013582	0.013758	0.013716	0.013754	0.013704	0.013806	0.013759	0.013633	0.013661	0.013698	0.013812	0.014844	0.013761	0.01425	0.013814	0.014011	0.013737	0.013709	0.013967	0.013645	0.013617	0.013498	0.01388	0.013801	0.013539	0.013279	0.013255	0.011845	0.013848	0.013173	0.0025754	0.011218	0.013266	0.017041	0.0048578	0.01375	0.0054939	0.01393	0.013832	0.013893	0.014618	0.013726	0.013489	0.013813	0.013695	0.013773	0.013738	0.013822                                                                       
IL5RA  	0.013035	0.012806	0.0074612	0.0022188	0.014112	0.013847	0.014009	0.013959	0.014053	0.01409	0.01409	0.01392	0.014395	0.01406	0.014066	0.014111	0.013936	0.012601	0.0106	0.013299	0.012068	0.014131	0.013911	0.014827	0.011987	0.013698	0.010279	0.013968	0.013858	0.013884	0.013841	0.013893	0.013657	0.013865	0.013924	0.013924	0.013842	0.014052	0.014139	0.013897	0.013215	0.013866	0.013856	0.01398	0.013889	0.014027	0.014026	0.01397	0.014102	0.013793	0.013872	0.013801	0.014625	0.013811	0.013676	0.0134	0.011348	0.013931	0.013352	0.0022188	0.011969	0.01298	0.0094824	0.0054779	0.01395	0.0052294	0.013578	0.013788	0.013995	0.013184	0.014066	0.013669	0.013952	0.013901	0.013937	0.013771	0.013999                                                                          
IL9    	0.011832	0.013151	0.0083042	0.0026696	0.013808	0.013566	0.013698	0.013687	0.013719	0.013719	0.013719	0.013645	0.013534	0.013636	0.013702	0.013673	0.013692	0.01179	0.015295	0.013715	0.013087	0.013781	0.01362	0.013833	0.012814	0.013087	0.010299	0.013729	0.013668	0.013369	0.013701	0.013684	0.013713	0.013668	0.013729	0.013702	0.013757	0.01379	0.013872	0.013709	0.013704	0.013696	0.013826	0.013766	0.013809	0.01371	0.013701	0.013811	0.013717	0.013568	0.013502	0.013539	0.013811	0.013787	0.01369	0.013493	0.012488	0.013775	0.013284	0.0026696	0.011585	0.013299	0.008911	0.013216	0.01375	0.0055696	0.012964	0.013298	0.013885	0.013137	0.013724	0.013428	0.013742	0.013688	0.013776	0.013743	0.01377                                                                       
KIT    	0.0099379	0.01784	0.0082461	0.001671	0.013227	0.013576	0.01329	0.01342	0.013257	0.012983	0.012983	0.013536	0.012807	0.013225	0.013194	0.01308	0.013418	0.010822	0.0091246	0.019714	0.024907	0.013084	0.013872	0.015545	0.021503	0.012586	0.0097872	0.013251	0.012993	0.012655	0.012939	0.01336	0.012409	0.013283	0.013075	0.013166	0.013196	0.012921	0.013263	0.013279	0.011716	0.013579	0.012758	0.013346	0.013086	0.013469	0.014045	0.01322	0.014852	0.013481	0.013123	0.013279	0.013676	0.01369	0.018203	0.016895	0.023417	0.012957	0.013662	0.001671	0.010909	0.011684	0.0074644	0.0039172	0.013451	0.0044101	0.012455	0.013013	0.013032	0.012112	0.01396	0.012908	0.013194	0.013819	0.012951	0.012801	0.013368                                                                     
KITLG  	0.010164	0.020018	0.0081911	0.0018391	0.013059	0.013597	0.013172	0.013289	0.013148	0.012936	0.012936	0.013426	0.012684	0.013123	0.013109	0.013026	0.01324	0.011054	0.0094421	0.017981	0.024603	0.012839	0.013727	0.014265	0.024084	0.012632	0.009289	0.013122	0.012925	0.012656	0.012866	0.013254	0.012538	0.013162	0.012998	0.013067	0.013086	0.012812	0.013077	0.013176	0.01205	0.013637	0.012917	0.013211	0.013046	0.013265	0.013752	0.013179	0.014273	0.013283	0.012947	0.013255	0.0134	0.013493	0.016895	0.017053	0.0271	0.012879	0.013305	0.0018391	0.01049	0.011967	0.0083358	0.0045453	0.013248	0.004567	0.01253	0.012943	0.012961	0.012179	0.01365	0.012814	0.013089	0.013655	0.012788	0.012648	0.013201                                                                       
LTB4R  	0.0063899	0.042386	0.0050983	0.00086424	0.010134	0.013076	0.010928	0.011354	0.010733	0.010044	0.010044	0.012069	0.0090895	0.010877	0.010633	0.010401	0.011128	0.0075786	0.0065569	0.026546	0.056755	0.0092897	0.013206	0.011852	0.058825	0.010242	0.0056877	0.010687	0.01022	0.010125	0.0098905	0.011374	0.0088096	0.011032	0.010265	0.010606	0.010992	0.0096512	0.010416	0.011027	0.0085427	0.013076	0.010102	0.010974	0.010642	0.01122	0.012865	0.010904	0.014272	0.011685	0.010768	0.011845	0.011348	0.012488	0.023417	0.0271	0.078111	0.0097396	0.011977	0.00086424	0.0069099	0.0080137	0.0056008	0.0022186	0.010747	0.0028649	0.010141	0.010885	0.0096608	0.0087026	0.012383	0.010506	0.010575	0.012735	0.0093299	0.0089924	0.010909                                               
MAF    	0.010978	0.011978	0.0072747	0.0034542	0.01476	0.013652	0.013986	0.014034	0.013998	0.01405	0.01405	0.013877	0.013278	0.013838	0.014024	0.013889	0.014269	0.010364	0.0095809	0.012544	0.010536	0.013501	0.013752	0.013262	0.010613	0.012628	0.010428	0.014376	0.014684	0.013475	0.014973	0.014265	0.01474	0.014273	0.014515	0.014312	0.013959	0.014406	0.014252	0.014198	0.013187	0.014099	0.014665	0.014447	0.013983	0.014109	0.013851	0.0142	0.013702	0.013977	0.013807	0.013848	0.013931	0.013775	0.012957	0.012879	0.0097396	0.016151	0.013415	0.0034542	0.011647	0.015812	0.0082557	0.0041548	0.014173	0.0065846	0.012373	0.013125	0.014939	0.015002	0.013938	0.014039	0.014622	0.013998	0.014991	0.015047	0.014096                                                                  
MMP9   	0.010399	0.012673	0.046043	0.0020655	0.013436	0.013252	0.013383	0.013685	0.013389	0.013297	0.013297	0.013534	0.013015	0.01328	0.0134	0.013313	0.013624	0.010949	0.0097408	0.014548	0.013147	0.013108	0.013425	0.013288	0.012367	0.012551	0.0090787	0.013477	0.013299	0.012843	0.013445	0.013525	0.013549	0.013573	0.013472	0.013446	0.013388	0.013278	0.013347	0.013585	0.012689	0.013406	0.013356	0.013462	0.013257	0.013378	0.013426	0.013395	0.013403	0.013258	0.013029	0.013173	0.013352	0.013284	0.013662	0.013305	0.011977	0.013415	0.016802	0.0020655	0.010413	0.01326	0.0078661	0.0047769	0.014478	0.0049109	0.012396	0.012862	0.014031	0.012412	0.013432	0.013078	0.013473	0.013816	0.013442	0.013368	0.013372                                                                 
