       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.17177	0.0087688	0.0041584	0.0015953	0.010783	0.013134	0.01192	0.011779	0.011863	0.012191	0.012191	0.012981	0.011445	0.013542	0.011717	0.01445	0.011304	0.0077208	0.0068666	0.0091668	0.0070623	0.0097807	0.011681	0.010044	0.0076769	0.010545	0.009519	0.011494	0.012024	0.038293	0.010717	0.011832	0.010066	0.011763	0.011235	0.012154	0.011994	0.013975	0.013314	0.011334	0.0089176	0.011266	0.010207	0.011169	0.010902	0.012131	0.011535	0.010814	0.011916	0.012277	0.021533	0.012107	0.013035	0.011832	0.0099379	0.010164	0.0063899	0.010978	0.010399	0.0015953	0.014074	0.008895	0.0058147	0.0024295	0.01073	0.0042873	0.010017	0.010935	0.010192	0.0099481	0.011603	0.012867	0.011286	0.011138	0.010166	0.0096344	0.011026                                                      
ALOX5  	0.0087688	0.029434	0.0063738	0.001532	0.01225	0.01359	0.012556	0.012769	0.012473	0.012144	0.012144	0.013084	0.01143	0.012517	0.012422	0.012303	0.012632	0.010452	0.0082064	0.018912	0.032134	0.011588	0.013679	0.013123	0.035805	0.012232	0.0074494	0.012428	0.012238	0.011946	0.01199	0.012722	0.011377	0.012556	0.012236	0.012387	0.012509	0.011799	0.012249	0.01262	0.011335	0.013825	0.012715	0.012605	0.012483	0.012668	0.013447	0.01279	0.014084	0.012762	0.012265	0.013007	0.012806	0.013151	0.01784	0.020018	0.042386	0.011978	0.012673	0.001532	0.0088398	0.010614	0.0085205	0.003319	0.012432	0.0040622	0.012185	0.012523	0.011972	0.011273	0.013189	0.012183	0.012409	0.013404	0.011657	0.011429	0.012554                                                                    
AREG   	0.0041584	0.0063738	0.40379	0.00061212	0.0073302	0.0081355	0.0082158	0.010787	0.0079194	0.0072356	0.0072356	0.010125	0.0061719	0.007853	0.0079938	0.00759	0.010228	0.0043697	0.0047769	0.014302	0.0070794	0.0062901	0.0093223	0.0067777	0.0056278	0.0063834	0.0035783	0.0082732	0.0077529	0.006985	0.0078667	0.009353	0.0073478	0.009955	0.0079558	0.0083284	0.0093983	0.0072639	0.0075699	0.0098154	0.0061379	0.0084366	0.0070576	0.0080222	0.0072829	0.0081293	0.0084388	0.0077156	0.0077655	0.008192	0.0075724	0.0078661	0.0074612	0.0083042	0.0082461	0.0081911	0.0050983	0.0072747	0.046043	0.00061212	0.004465	0.0069575	0.0030509	0.0015922	0.014222	0.0020655	0.0061643	0.0071405	0.0087429	0.0056997	0.0080944	0.0078177	0.0080589	0.011984	0.0072451	0.0069782	0.0077488      
ARG1   	0.0015953	0.001532	0.00061212	0.33023	0.0034036	0.0025877	0.0027821	0.002413	0.0022642	0.0032535	0.0032535	0.0024046	0.0017317	0.0027877	0.0023975	0.0024075	0.0028137	0.0010183	0.0012405	0.0015325	0.00097132	0.0016584	0.0025183	0.0015867	0.0011152	0.0017558	0.0009805	0.0028533	0.0030462	0.0030342	0.0029872	0.0027815	0.002159	0.002811	0.0031257	0.0030378	0.0028033	0.003618	0.0033884	0.0026978	0.00154	0.0028098	0.0020491	0.0025548	0.0020788	0.0028086	0.0022723	0.0021472	0.0020822	0.0026102	0.0028484	0.0025754	0.0022188	0.0026696	0.001671	0.0018391	0.00086424	0.0034542	0.0020655	0.28044	0.001355	0.0018719	0.00084801	0.00033729	0.0019722	0.21717	0.0016174	0.0019338	0.0021407	0.0017835	0.0022809	0.010262	0.0030675	0.0022716	0.0021595	0.001948	0.0021913   
BCL6   	0.010783	0.01225	0.0073302	0.0034036	0.017673	0.013728	0.014081	0.014062	0.014086	0.014073	0.014073	0.013926	0.013835	0.013932	0.014081	0.013999	0.01441	0.010813	0.0094805	0.012688	0.010887	0.01411	0.013858	0.01412	0.010946	0.012892	0.0090782	0.014316	0.014224	0.013493	0.014483	0.014126	0.014199	0.01413	0.014395	0.014215	0.013933	0.014073	0.014126	0.014168	0.013458	0.014088	0.014206	0.014536	0.014048	0.014136	0.013984	0.014134	0.013962	0.013864	0.013713	0.01394	0.014112	0.013808	0.013227	0.013059	0.010134	0.01476	0.013436	0.0034036	0.010642	0.013745	0.009681	0.0040419	0.014234	0.0065367	0.012673	0.013299	0.014865	0.013471	0.014257	0.01404	0.014649	0.013993	0.014614	0.014595	0.014176                                                                     
CCL11  	0.013134	0.01359	0.0081355	0.0025877	0.013728	0.013942	0.013856	0.013801	0.013913	0.013957	0.013957	0.013821	0.014299	0.013953	0.013933	0.014016	0.013692	0.016273	0.0099963	0.013345	0.013131	0.013997	0.013822	0.013662	0.013515	0.014932	0.010027	0.013734	0.013622	0.013852	0.01358	0.01369	0.013432	0.01364	0.013678	0.013686	0.013623	0.013654	0.01369	0.013724	0.013623	0.01372	0.013716	0.01374	0.013787	0.01375	0.013789	0.013792	0.013713	0.013607	0.013553	0.013717	0.013847	0.013566	0.013576	0.013597	0.013076	0.013652	0.013252	0.0025877	0.01132	0.012831	0.0091541	0.00503	0.013877	0.0054858	0.01514	0.014491	0.013865	0.01307	0.013766	0.01346	0.013703	0.013716	0.01356	0.013467	0.013784                                                                            
CCL17  	0.01192	0.012556	0.0082158	0.0027821	0.014081	0.013856	0.014312	0.014019	0.01446	0.014297	0.014297	0.013949	0.015011	0.014118	0.014276	0.014349	0.013953	0.012444	0.010031	0.012913	0.011535	0.01668	0.013809	0.013797	0.011674	0.01359	0.010041	0.01402	0.013868	0.013811	0.013943	0.013909	0.013797	0.013863	0.013951	0.013917	0.013829	0.013922	0.013914	0.01393	0.013405	0.013852	0.013951	0.013987	0.013951	0.013907	0.013879	0.014028	0.013775	0.013777	0.013643	0.013798	0.014009	0.013698	0.01329	0.013172	0.010928	0.013986	0.013383	0.0027821	0.011299	0.013309	0.009269	0.0048764	0.014031	0.0057458	0.013449	0.013667	0.014104	0.01332	0.01407	0.013687	0.013971	0.013853	0.014058	0.014157	0.014291                                                                        
CCL2   	0.011779	0.012769	0.010787	0.002413	0.014062	0.013801	0.014019	0.013983	0.01409	0.014146	0.014146	0.013896	0.014561	0.013987	0.014121	0.014145	0.01394	0.012371	0.010078	0.013204	0.01195	0.014363	0.013798	0.01386	0.011996	0.013513	0.010103	0.014002	0.0139	0.013689	0.013976	0.013922	0.014193	0.013907	0.014024	0.013963	0.013802	0.01392	0.013916	0.013948	0.013518	0.013871	0.014075	0.013983	0.013901	0.013892	0.013858	0.013999	0.013794	0.013753	0.01363	0.013762	0.013959	0.013687	0.01342	0.013289	0.011354	0.014034	0.013685	0.002413	0.011363	0.013667	0.009208	0.004942	0.014229	0.0054116	0.01339	0.013623	0.01434	0.013384	0.013941	0.013651	0.013999	0.013898	0.014035	0.014003	0.013998                                                                              
CCL22  	0.011863	0.012473	0.0079194	0.0022642	0.014086	0.013913	0.01446	0.01409	0.014647	0.014416	0.014416	0.014015	0.015374	0.014218	0.014407	0.014503	0.013988	0.012333	0.0097139	0.012842	0.011368	0.017497	0.013841	0.013706	0.011542	0.013601	0.0099976	0.014075	0.013895	0.01389	0.01396	0.013951	0.013793	0.013895	0.013985	0.013953	0.013867	0.013881	0.013921	0.013976	0.013412	0.013882	0.013947	0.014029	0.014003	0.013938	0.013914	0.014073	0.013779	0.013817	0.013661	0.013847	0.014053	0.013719	0.013257	0.013148	0.010733	0.013998	0.013389	0.0022642	0.01124	0.013255	0.0093288	0.0043914	0.0141	0.0052805	0.013434	0.013682	0.014167	0.013331	0.014153	0.013713	0.014007	0.013889	0.014054	0.014156	0.014421                                                                   
CCL24  	0.012191	0.012144	0.0072356	0.0032535	0.014073	0.013957	0.014297	0.014146	0.014416	0.015928	0.015016	0.01408	0.016414	0.014513	0.014791	0.015018	0.013942	0.011898	0.010165	0.012538	0.010739	0.014199	0.013792	0.013269	0.010987	0.013565	0.010254	0.014099	0.01398	0.01426	0.01387	0.013955	0.013613	0.013883	0.014006	0.013993	0.013986	0.014175	0.014057	0.013969	0.013265	0.01389	0.013933	0.01399	0.013941	0.013935	0.013864	0.01402	0.013649	0.013867	0.013737	0.01391	0.01409	0.013719	0.012983	0.012936	0.010044	0.01405	0.013297	0.0032535	0.011441	0.012808	0.0096911	0.0049315	0.01396	0.0063232	0.013279	0.013622	0.014	0.013585	0.013961	0.013895	0.014018	0.01389	0.013829	0.013688	0.014039                                                                             
CCL26  	0.012191	0.012144	0.0072356	0.0032535	0.014073	0.013957	0.014297	0.014146	0.014416	0.015016	0.015928	0.01408	0.016414	0.014513	0.014791	0.015018	0.013942	0.011898	0.010165	0.012538	0.010739	0.014199	0.013792	0.013269	0.010987	0.013565	0.010254	0.014099	0.01398	0.01426	0.01387	0.013955	0.013613	0.013883	0.014006	0.013993	0.013986	0.014175	0.014057	0.013969	0.013265	0.01389	0.013933	0.01399	0.013941	0.013935	0.013864	0.01402	0.013649	0.013867	0.013737	0.01391	0.01409	0.013719	0.012983	0.012936	0.010044	0.01405	0.013297	0.0032535	0.011441	0.012808	0.0096911	0.0049315	0.01396	0.0063232	0.013279	0.013622	0.014	0.013585	0.013961	0.013895	0.014018	0.01389	0.013829	0.013688	0.014039                                                                             
CCL5   	0.012981	0.013084	0.010125	0.0024046	0.013926	0.013821	0.013949	0.013896	0.014015	0.01408	0.01408	0.013861	0.014503	0.013967	0.014042	0.014107	0.013842	0.013409	0.010223	0.013353	0.012506	0.014237	0.013788	0.013832	0.012555	0.013866	0.010023	0.013884	0.013786	0.013871	0.013826	0.013821	0.01382	0.013796	0.013864	0.013837	0.013731	0.013816	0.013837	0.013836	0.013381	0.013801	0.01393	0.013868	0.013814	0.013829	0.013826	0.013901	0.01378	0.013691	0.013631	0.013726	0.01392	0.013645	0.013536	0.013426	0.012069	0.013877	0.013534	0.0024046	0.0113	0.013402	0.0092217	0.0052343	0.013972	0.0053779	0.01382	0.013833	0.014022	0.013271	0.013871	0.013573	0.013863	0.013818	0.01388	0.01384	0.013909                                                                          
CCL8   	0.011445	0.01143	0.0061719	0.0017317	0.013835	0.014299	0.015011	0.014561	0.015374	0.016414	0.016414	0.014503	0.039204	0.016442	0.017477	0.018329	0.013741	0.010899	0.0085728	0.011904	0.009935	0.01525	0.013774	0.013789	0.010245	0.013515	0.0081151	0.014199	0.013406	0.015001	0.013282	0.013883	0.012485	0.013643	0.013558	0.013673	0.013871	0.013189	0.013458	0.013831	0.011858	0.013585	0.012848	0.013746	0.013403	0.013767	0.01396	0.013454	0.013617	0.013741	0.013421	0.013915	0.014395	0.013534	0.012807	0.012684	0.0090895	0.013278	0.013015	0.0017317	0.0096556	0.01157	0.0077176	0.0032433	0.013959	0.0046785	0.012776	0.013366	0.013507	0.011915	0.015072	0.01375	0.013714	0.013707	0.012975	0.01265	0.014033                                                                
CCR3   	0.013542	0.012517	0.007853	0.0027877	0.013932	0.013953	0.014118	0.013987	0.014218	0.014513	0.014513	0.013967	0.016442	0.014302	0.014418	0.0146	0.013833	0.014327	0.0099418	0.012819	0.01147	0.014429	0.013823	0.013779	0.011659	0.014369	0.0099541	0.013931	0.013783	0.014211	0.013747	0.013834	0.013595	0.013779	0.013846	0.013847	0.013785	0.013876	0.013869	0.01384	0.013158	0.013775	0.013775	0.01387	0.013803	0.013868	0.013857	0.013876	0.013733	0.013726	0.013701	0.013805	0.01406	0.013636	0.013225	0.013123	0.010877	0.013838	0.01328	0.0027877	0.011273	0.012971	0.0093342	0.0048057	0.013916	0.0057515	0.0143	0.014123	0.013916	0.013231	0.013961	0.013664	0.013862	0.013791	0.013735	0.013631	0.013949                                                                      
CCR4   	0.011717	0.012422	0.0079938	0.0023975	0.014081	0.013933	0.014276	0.014121	0.014407	0.014791	0.014791	0.014042	0.017477	0.014418	0.014692	0.014851	0.01396	0.012149	0.009724	0.01279	0.011268	0.014809	0.013818	0.013571	0.011461	0.013581	0.010062	0.014097	0.013928	0.013997	0.013937	0.013962	0.01385	0.013905	0.014013	0.013978	0.01389	0.01394	0.013943	0.013983	0.013479	0.013885	0.013974	0.014008	0.013945	0.013929	0.013893	0.014013	0.013735	0.013826	0.013663	0.013868	0.014066	0.013702	0.013194	0.013109	0.010633	0.014024	0.0134	0.0023975	0.011284	0.013274	0.0093817	0.0044018	0.014111	0.0054383	0.013358	0.013645	0.014193	0.013423	0.014093	0.013764	0.01402	0.013897	0.013959	0.013883	0.014104                                                                      
CCR8   	0.01445	0.012303	0.00759	0.0024075	0.013999	0.014016	0.014349	0.014145	0.014503	0.015018	0.015018	0.014107	0.018329	0.0146	0.014851	0.015154	0.013906	0.012464	0.0095762	0.01261	0.011021	0.014909	0.013815	0.013467	0.011312	0.013786	0.0094296	0.014062	0.013848	0.014664	0.013792	0.013918	0.013523	0.013839	0.013916	0.013923	0.013885	0.013873	0.013911	0.013928	0.013137	0.013834	0.013776	0.013941	0.013864	0.013905	0.013883	0.01393	0.013693	0.013795	0.013775	0.013881	0.014111	0.013673	0.01308	0.013026	0.010401	0.013889	0.013313	0.0024075	0.010865	0.012784	0.0094644	0.0042276	0.014028	0.0054578	0.013544	0.013749	0.014007	0.013175	0.014099	0.01378	0.013944	0.013855	0.013766	0.013644	0.014077                                                                     
CD40LG 	0.011304	0.012632	0.010228	0.0028137	0.01441	0.013692	0.013953	0.01394	0.013988	0.013942	0.013942	0.013842	0.013741	0.013833	0.01396	0.013906	0.014178	0.011717	0.0097862	0.013155	0.011804	0.014063	0.013783	0.014079	0.011754	0.013171	0.010143	0.014109	0.013963	0.013478	0.014447	0.01397	0.014136	0.013988	0.014077	0.013988	0.013787	0.013932	0.013967	0.013974	0.013369	0.013896	0.014066	0.014078	0.013883	0.013998	0.013875	0.014004	0.01387	0.01381	0.013625	0.013742	0.013936	0.013692	0.013418	0.01324	0.011128	0.014269	0.013624	0.0028137	0.011397	0.014491	0.0090667	0.0045447	0.014065	0.0057868	0.013024	0.013441	0.014311	0.013415	0.013939	0.013703	0.014106	0.013902	0.015203	0.015591	0.014103                                                                     
CLC    	0.0077208	0.010452	0.0043697	0.0010183	0.010813	0.016273	0.012444	0.012371	0.012333	0.011898	0.011898	0.013409	0.010899	0.014327	0.012149	0.012464	0.011717	0.1079	0.0064515	0.0095387	0.0079656	0.01007	0.014843	0.011475	0.0093754	0.044249	0.0059332	0.011423	0.011016	0.012254	0.010646	0.011694	0.0093718	0.011555	0.011039	0.011492	0.011871	0.010331	0.011089	0.011724	0.0099496	0.011715	0.010603	0.011576	0.011777	0.012967	0.013276	0.011677	0.011885	0.011983	0.011522	0.013728	0.012601	0.01179	0.010822	0.011054	0.0075786	0.010364	0.010949	0.0010183	0.007308	0.0083941	0.0072623	0.0020885	0.011403	0.0032704	0.049994	0.033782	0.010245	0.0098363	0.011616	0.011534	0.011132	0.011851	0.010206	0.0096626	0.011714                                                      
CLCA1  	0.0068666	0.0082064	0.0047769	0.0012405	0.0094805	0.0099963	0.010031	0.010078	0.0097139	0.010165	0.010165	0.010223	0.0085728	0.0099418	0.009724	0.0095762	0.0097862	0.0064515	0.12234	0.0097934	0.0073736	0.0089672	0.010066	0.0088823	0.0072338	0.0084761	0.0056409	0.010066	0.010006	0.0091365	0.0095025	0.010174	0.0090031	0.010231	0.0097711	0.010131	0.014137	0.010635	0.011499	0.010213	0.0089036	0.010417	0.0095035	0.010425	0.010966	0.01045	0.010264	0.010438	0.0095567	0.0099518	0.010252	0.0098819	0.0106	0.015295	0.0091246	0.0094421	0.0065569	0.0095809	0.0097408	0.0012405	0.0069648	0.008264	0.0048578	0.19242	0.0094449	0.0033292	0.0082226	0.0090511	0.0094839	0.0082917	0.0099786	0.010086	0.010068	0.010192	0.0090965	0.0088777	0.010505                            
CMA1   	0.0091668	0.018912	0.014302	0.0015325	0.012688	0.013345	0.012913	0.013204	0.012842	0.012538	0.012538	0.013353	0.011904	0.012819	0.01279	0.01261	0.013155	0.0095387	0.0097934	0.023648	0.029434	0.012191	0.013687	0.013874	0.024004	0.011838	0.0094948	0.012927	0.012633	0.012206	0.01254	0.013127	0.011947	0.013046	0.012721	0.012843	0.012975	0.012537	0.01299	0.013032	0.011265	0.01338	0.012299	0.013031	0.012773	0.013163	0.013845	0.012874	0.014657	0.013326	0.012799	0.012981	0.013299	0.013715	0.019714	0.017981	0.026546	0.012544	0.014548	0.0015325	0.010499	0.011215	0.0068016	0.0048584	0.013418	0.0041641	0.011644	0.012464	0.012695	0.011646	0.013688	0.012578	0.012848	0.013802	0.012473	0.012289	0.013003                                                                
CPA3   	0.0070623	0.032134	0.0070794	0.00097132	0.010887	0.013131	0.011535	0.01195	0.011368	0.010739	0.010739	0.012506	0.009935	0.01147	0.011268	0.011021	0.011804	0.0079656	0.0073736	0.029434	0.053233	0.0102	0.013417	0.013021	0.047275	0.010613	0.0067905	0.011384	0.010896	0.010697	0.010642	0.011935	0.0096029	0.011678	0.010975	0.011274	0.011614	0.010509	0.011263	0.011641	0.0090775	0.012925	0.01044	0.011618	0.011251	0.011909	0.013424	0.011392	0.014956	0.01235	0.011452	0.01212	0.012068	0.013087	0.024907	0.024603	0.056755	0.010536	0.013147	0.00097132	0.0079787	0.0087853	0.0055747	0.0027029	0.01166	0.0031367	0.010464	0.011361	0.01051	0.0094244	0.013036	0.011123	0.011241	0.013174	0.010265	0.0099513	0.011591                                                           
CRLF2  	0.0097807	0.011588	0.0062901	0.0016584	0.01411	0.013997	0.01668	0.014363	0.017497	0.014199	0.014199	0.014237	0.01525	0.014429	0.014809	0.014909	0.014063	0.01007	0.0089672	0.012191	0.0102	0.039077	0.013904	0.014227	0.010326	0.012663	0.0083402	0.014155	0.013505	0.013462	0.013666	0.013951	0.012634	0.013744	0.013656	0.013714	0.013917	0.013232	0.013567	0.013982	0.012575	0.013756	0.0133	0.014124	0.014232	0.013892	0.014081	0.014271	0.013838	0.013816	0.013388	0.013834	0.014131	0.013781	0.013084	0.012839	0.0092897	0.013501	0.013108	0.0016584	0.0098286	0.011889	0.0076113	0.0035627	0.014025	0.0045432	0.012289	0.013086	0.013721	0.011998	0.015342	0.013594	0.013865	0.013774	0.013699	0.014573	0.016892                                                                 
CSF2   	0.011681	0.013679	0.0093223	0.0025183	0.013858	0.013822	0.013809	0.013798	0.013841	0.013792	0.013792	0.013788	0.013774	0.013823	0.013818	0.013815	0.013783	0.014843	0.010066	0.013687	0.013417	0.013904	0.013863	0.014866	0.013427	0.014345	0.010058	0.013776	0.01368	0.013475	0.013709	0.013741	0.013713	0.01372	0.013761	0.013746	0.013639	0.013684	0.013744	0.013756	0.013275	0.013776	0.013879	0.013802	0.013741	0.013807	0.013893	0.013849	0.013987	0.013636	0.013525	0.01369	0.013911	0.01362	0.013872	0.013727	0.013206	0.013752	0.013425	0.0025183	0.011363	0.01318	0.0090735	0.0050786	0.013851	0.00542	0.014458	0.014152	0.013875	0.013118	0.013871	0.013465	0.01377	0.013786	0.013771	0.013722	0.013821                                                                      
CSF3R  	0.010044	0.013123	0.0067777	0.0015867	0.01412	0.013662	0.013797	0.01386	0.013706	0.013269	0.013269	0.013832	0.013789	0.013779	0.013571	0.013467	0.014079	0.011475	0.0088823	0.013874	0.013021	0.014227	0.014866	0.03779	0.012318	0.013251	0.0085225	0.013736	0.013314	0.012879	0.01334	0.013734	0.012633	0.013774	0.013472	0.013634	0.013606	0.013167	0.013654	0.013704	0.011766	0.013697	0.012933	0.013953	0.013373	0.014311	0.015601	0.013633	0.018005	0.013674	0.013768	0.01365	0.014827	0.013833	0.015545	0.014265	0.011852	0.013262	0.013288	0.0015867	0.01026	0.011823	0.0074439	0.0035433	0.013837	0.0043936	0.013141	0.013754	0.01342	0.011814	0.015605	0.013324	0.013691	0.014044	0.013335	0.013087	0.014057                                                                   
CYSLTR1	0.0076769	0.035805	0.0056278	0.0011152	0.010946	0.013515	0.011674	0.011996	0.011542	0.010987	0.010987	0.012555	0.010245	0.011659	0.011461	0.011312	0.011754	0.0093754	0.0072338	0.024004	0.047275	0.010326	0.013427	0.012318	0.051439	0.011405	0.0064414	0.011417	0.011002	0.011053	0.010713	0.011946	0.0097594	0.011662	0.011055	0.011338	0.011648	0.010553	0.011198	0.011691	0.0095943	0.013274	0.010898	0.011643	0.011429	0.011849	0.013168	0.011605	0.014249	0.012178	0.011436	0.012319	0.011987	0.012814	0.021503	0.024084	0.058825	0.010613	0.012367	0.0011152	0.0077419	0.0089446	0.0062168	0.0026455	0.011582	0.0033334	0.011375	0.011792	0.01062	0.0095758	0.01276	0.011219	0.01131	0.013031	0.010232	0.0099213	0.011611                                                       
EPX    	0.010545	0.012232	0.0063834	0.0017558	0.012892	0.014932	0.01359	0.013513	0.013601	0.013565	0.013565	0.013866	0.013515	0.014369	0.013581	0.013786	0.013171	0.044249	0.0084761	0.011838	0.010613	0.012663	0.014345	0.013251	0.011405	0.02545	0.0080666	0.013105	0.012883	0.013464	0.01267	0.013147	0.012014	0.013065	0.012915	0.01309	0.013189	0.012577	0.012945	0.013194	0.01234	0.013184	0.012813	0.013151	0.013272	0.013646	0.013789	0.013264	0.013252	0.013171	0.012948	0.013913	0.013698	0.013087	0.012586	0.012632	0.010242	0.012628	0.012551	0.0017558	0.0095465	0.011131	0.0094579	0.0034304	0.013141	0.004504	0.027323	0.021079	0.012653	0.012127	0.013188	0.012961	0.012967	0.013241	0.012455	0.012152	0.01324                                                                  
FCER1A 	0.009519	0.0074494	0.0035783	0.0009805	0.0090782	0.010027	0.010041	0.010103	0.0099976	0.010254	0.010254	0.010023	0.0081151	0.0099541	0.010062	0.0094296	0.010143	0.0059332	0.0056409	0.0094948	0.0067905	0.0083402	0.010058	0.0085225	0.0064414	0.0080666	0.20124	0.010196	0.010777	0.010069	0.0095842	0.010269	0.0086184	0.010286	0.010195	0.010632	0.01036	0.012012	0.011563	0.010025	0.0075824	0.010002	0.0088464	0.010113	0.010016	0.010649	0.010094	0.010106	0.010645	0.016561	0.016282	0.0099208	0.010279	0.010299	0.0097872	0.009289	0.0056877	0.010428	0.0090787	0.0009805	0.11376	0.0075642	0.0041962	0.0018991	0.010001	0.0029848	0.0077717	0.0093856	0.0090608	0.010878	0.010182	0.010294	0.010166	0.010117	0.010459	0.010407	0.010105                                       
FOXP3  	0.011494	0.012428	0.0082732	0.0028533	0.014316	0.013734	0.01402	0.014002	0.014075	0.014099	0.014099	0.013884	0.014199	0.013931	0.014097	0.014062	0.014109	0.011423	0.010066	0.012927	0.011384	0.014155	0.013776	0.013736	0.011417	0.013105	0.010196	0.014169	0.014092	0.013596	0.014368	0.014044	0.014691	0.014053	0.014237	0.014116	0.013856	0.014047	0.014039	0.014045	0.013569	0.01394	0.014208	0.014137	0.013956	0.013999	0.013865	0.014065	0.013786	0.013838	0.01369	0.013795	0.013968	0.013729	0.013251	0.013122	0.010687	0.014376	0.013477	0.0028533	0.011469	0.01453	0.0091571	0.0049059	0.01423	0.0058519	0.012917	0.013392	0.014684	0.013847	0.013961	0.013771	0.014195	0.013926	0.014762	0.014796	0.014083                                                                   
GATA3  	0.012024	0.012238	0.0077529	0.0030462	0.014224	0.013622	0.013868	0.0139	0.013895	0.01398	0.01398	0.013786	0.013406	0.013783	0.013928	0.013848	0.013963	0.011016	0.010006	0.012633	0.010896	0.013505	0.01368	0.013314	0.011002	0.012883	0.010777	0.014092	0.014869	0.013588	0.014207	0.013987	0.014358	0.014006	0.014188	0.014073	0.013849	0.014176	0.014029	0.014064	0.013678	0.014034	0.015648	0.014094	0.013997	0.013905	0.01374	0.014378	0.013632	0.013919	0.013765	0.013901	0.013858	0.013668	0.012993	0.012925	0.01022	0.014684	0.013299	0.0030462	0.012046	0.014119	0.0094104	0.0048602	0.013974	0.0060433	0.012691	0.013234	0.014383	0.019545	0.013793	0.013779	0.01422	0.013851	0.014177	0.014103	0.013947                                                                      
GPR44  	0.038293	0.011946	0.006985	0.0030342	0.013493	0.013852	0.013811	0.013689	0.01389	0.01426	0.01426	0.013871	0.015001	0.014211	0.013997	0.014664	0.013478	0.012254	0.0091365	0.012206	0.010697	0.013462	0.013475	0.012879	0.011053	0.013464	0.010069	0.013596	0.013588	0.018416	0.013311	0.013553	0.012996	0.013493	0.013489	0.013627	0.013542	0.013952	0.013832	0.013491	0.012608	0.013435	0.013287	0.013485	0.013416	0.013612	0.013488	0.013452	0.013408	0.013549	0.014954	0.013582	0.013884	0.013369	0.012655	0.012656	0.010125	0.013475	0.012843	0.0030342	0.011763	0.012192	0.0091762	0.0039301	0.01346	0.0059914	0.013262	0.013443	0.013365	0.012944	0.013546	0.013625	0.013511	0.013416	0.013211	0.013027	0.013503                                                                  
ICOS   	0.010717	0.01199	0.0078667	0.0029872	0.014483	0.01358	0.013943	0.013976	0.01396	0.01387	0.01387	0.013826	0.013282	0.013747	0.013937	0.013792	0.014447	0.010646	0.0095025	0.01254	0.010642	0.013666	0.013709	0.01334	0.010713	0.01267	0.0095842	0.014368	0.014207	0.013311	0.015573	0.014287	0.014697	0.014415	0.014371	0.014193	0.013841	0.014048	0.014065	0.014116	0.013333	0.013977	0.014125	0.014288	0.01389	0.014123	0.013821	0.014022	0.013679	0.013875	0.013633	0.013758	0.013841	0.013701	0.012939	0.012866	0.0098905	0.014973	0.013445	0.0029872	0.010968	0.020676	0.0088551	0.0041831	0.014039	0.0060045	0.012448	0.013135	0.014641	0.01353	0.013884	0.013868	0.014401	0.013949	0.016308	0.01698	0.014189                                                                      
IFNG   	0.011832	0.012722	0.009353	0.0027815	0.014126	0.01369	0.013909	0.013922	0.013951	0.013955	0.013955	0.013821	0.013883	0.013834	0.013962	0.013918	0.01397	0.011694	0.010174	0.013127	0.011935	0.013951	0.013741	0.013734	0.011946	0.013147	0.010269	0.014044	0.013987	0.013553	0.014287	0.01403	0.015126	0.014062	0.01422	0.014097	0.013796	0.014236	0.014007	0.013951	0.013343	0.013877	0.014059	0.014029	0.013826	0.013904	0.013813	0.013945	0.013752	0.013758	0.013683	0.013716	0.013893	0.013684	0.01336	0.013254	0.011374	0.014265	0.013525	0.0027815	0.011587	0.015732	0.0089302	0.0051197	0.014072	0.0057641	0.012992	0.013391	0.014409	0.013568	0.013879	0.013699	0.014093	0.013882	0.014223	0.014193	0.013929                                                                    
IFNGR2 	0.010066	0.011377	0.0073478	0.002159	0.014199	0.013432	0.013797	0.014193	0.013793	0.013613	0.013613	0.01382	0.012485	0.013595	0.01385	0.013523	0.014136	0.0093718	0.0090031	0.011947	0.0096029	0.012634	0.013713	0.012633	0.0097594	0.012014	0.0086184	0.014691	0.014358	0.012996	0.014697	0.015126	0.038986	0.015675	0.018449	0.017245	0.013999	0.014268	0.014188	0.014371	0.012291	0.014081	0.013698	0.014472	0.013483	0.014066	0.013748	0.013728	0.013365	0.013818	0.013855	0.013754	0.013657	0.013713	0.012409	0.012538	0.0088096	0.01474	0.013549	0.002159	0.010327	0.016063	0.0075412	0.0035931	0.013887	0.0052791	0.011713	0.012681	0.01482	0.012636	0.013788	0.014137	0.014977	0.01419	0.013922	0.013477	0.013686                                                               
