       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.021905	0.041318	0.010552	0.0062229	0.011251	0.011461	0.011809	0.011541	0.011604	0.011549	0.011593	0.011573	0.011503	0.011373	0.011516	0.011542	0.011615	0.011703	0.041318	0.010917	0.0094376	0.010167	0.01082	0.010226	0.010954	0.011465	0.011372	0.010464	0.010482	0.010659	0.011734	0.011598	0.012734	0.011557	0.011673	0.012255	0.011712	0.01175	0.014654	0.011885	0.011504	0.011618	0.011606	0.011237	0.011696	0.011473	0.011703	0.011599	0.011543	0.011523	0.0091686	0.011611	0.011434	0.011789	0.012002	0.011434	0.011486	0.011495	0.011124	0.011193	0.0099135	0.011488	0.011352	0.011286	0.011042	0.011398	0.009715	0.0094376	0.01159	0.0097175	0.011296	0.010379	0.01064	0.012024	0.011252	0.0064192	0.011537	0.011661	0.011777	0.011712	0.011556	0.011505	0.011595                                                                   
ADRB2  	0.041318	0.11335	0.0080016	0.0047255	0.0089158	0.0094095	0.010772	0.0097592	0.010135	0.0097479	0.0098094	0.0095789	0.0098164	0.0088719	0.0097772	0.0096294	0.0098516	0.010298	0.095039	0.0082136	0.0063542	0.0075165	0.0083728	0.0072706	0.0082395	0.0098334	0.0091394	0.0078961	0.0080175	0.0080522	0.010321	0.0098885	0.013022	0.0097119	0.010193	0.011709	0.010332	0.010488	0.019598	0.010905	0.0095922	0.0098629	0.010112	0.0086819	0.010309	0.0094216	0.010261	0.0098324	0.0098323	0.0099662	0.0067561	0.009887	0.0094967	0.010597	0.011182	0.0097817	0.0095602	0.0097795	0.0089552	0.009209	0.0070827	0.009471	0.010085	0.0090683	0.0088264	0.0091782	0.0067716	0.0063542	0.0098897	0.0067784	0.0090514	0.0078743	0.0083117	0.011066	0.0088377	0.0043037	0.0099559	0.010146	0.010539	0.010385	0.0097015	0.0094708	0.0098885               
ALOX5  	0.010552	0.0080016	0.024671	0.0065161	0.011093	0.011764	0.012428	0.011925	0.012897	0.011874	0.011786	0.011651	0.011976	0.011431	0.011967	0.011875	0.011917	0.011902	0.0080016	0.010442	0.0099109	0.010553	0.012135	0.012176	0.010977	0.012255	0.011744	0.026913	0.010992	0.011492	0.011833	0.011996	0.011792	0.01179	0.011933	0.011407	0.011873	0.011777	0.011554	0.0118	0.01136	0.011794	0.011821	0.011457	0.012657	0.012029	0.011798	0.011804	0.01181	0.011955	0.0090826	0.011938	0.012121	0.011897	0.011795	0.012042	0.011902	0.01202	0.012113	0.014655	0.032089	0.011763	0.011839	0.011555	0.011626	0.011537	0.010219	0.0099109	0.011957	0.010254	0.011094	0.010923	0.011127	0.011756	0.011421	0.0079046	0.011832	0.011789	0.01259	0.012062	0.011749	0.011604	0.011774                                                                      
AREG   	0.0062229	0.0047255	0.0065161	0.3967	0.0065109	0.0069611	0.0072177	0.0072567	0.0088751	0.0072228	0.0066489	0.0065734	0.0084969	0.0061076	0.0070937	0.0071124	0.0070016	0.0086739	0.0047255	0.0057907	0.0043616	0.0052827	0.010948	0.0072446	0.0057635	0.0080388	0.0064091	0.0064505	0.0056338	0.0070575	0.007526	0.0073718	0.0068512	0.0073216	0.0081809	0.0072049	0.0086033	0.007409	0.0085873	0.008062	0.0069402	0.007191	0.0084087	0.0060027	0.0075669	0.006952	0.0073486	0.0069433	0.0073013	0.0073946	0.0051047	0.0071088	0.00715	0.0075101	0.0072328	0.0071351	0.0067645	0.0075746	0.0074067	0.008906	0.0063222	0.006859	0.036319	0.0068514	0.0072205	0.0068655	0.0046795	0.0043616	0.011546	0.0047906	0.0065248	0.0056714	0.005984	0.0079256	0.0060658	0.0028179	0.0073807	0.007245	0.0086754	0.0095985	0.0072492	0.0072337	0.0071249    
ARG1   	0.011251	0.0089158	0.011093	0.0065109	0.01674	0.012534	0.012078	0.012524	0.012387	0.012383	0.012214	0.012369	0.012528	0.012194	0.012202	0.012377	0.012291	0.01244	0.0089158	0.020678	0.0096928	0.010656	0.011374	0.01061	0.01184	0.012203	0.012016	0.010758	0.010935	0.011187	0.01247	0.012496	0.012214	0.012546	0.012591	0.012719	0.012599	0.012599	0.012112	0.0126	0.014972	0.012499	0.012449	0.011717	0.012392	0.012368	0.012873	0.012433	0.012365	0.012135	0.0099564	0.012405	0.012165	0.012387	0.01253	0.01212	0.01216	0.012277	0.011747	0.011859	0.010327	0.012558	0.011909	0.015293	0.011639	0.012505	0.010042	0.0096928	0.012288	0.010056	0.016313	0.010854	0.011171	0.012521	0.012362	0.0066473	0.012197	0.012676	0.012387	0.012515	0.01246	0.012534	0.012399                                                                          
BCL6   	0.011461	0.0094095	0.011764	0.0069611	0.012534	0.013967	0.012245	0.012466	0.012356	0.012495	0.012383	0.012527	0.012336	0.012591	0.012331	0.012521	0.012463	0.012577	0.0094095	0.012218	0.010341	0.011074	0.011677	0.011044	0.012503	0.01226	0.012475	0.011658	0.011364	0.011447	0.012572	0.012636	0.012394	0.01286	0.012509	0.012579	0.012519	0.012399	0.012186	0.012377	0.012521	0.012524	0.012479	0.012242	0.012445	0.012562	0.012601	0.01249	0.012463	0.012281	0.011695	0.012485	0.012443	0.012397	0.012417	0.012339	0.012435	0.012353	0.012002	0.012121	0.011159	0.012842	0.012014	0.012366	0.011779	0.012972	0.010653	0.010341	0.012508	0.010632	0.01252	0.011269	0.01152	0.012737	0.012874	0.0085628	0.012489	0.012518	0.012594	0.012412	0.012684	0.012853	0.01252                                                                        
CCL11  	0.011809	0.010772	0.012428	0.0072177	0.012078	0.012245	0.012292	0.012254	0.012225	0.012262	0.012299	0.012308	0.012223	0.012374	0.012269	0.012286	0.012284	0.012213	0.010772	0.011855	0.012364	0.012332	0.011783	0.011438	0.012245	0.012229	0.012299	0.012589	0.01233	0.011609	0.012228	0.012228	0.012252	0.012239	0.012216	0.012174	0.012198	0.01213	0.012061	0.012194	0.012138	0.012267	0.012194	0.013104	0.012239	0.012287	0.012211	0.012342	0.012238	0.012231	0.010637	0.012274	0.012219	0.012189	0.012195	0.012186	0.012283	0.012217	0.011984	0.01218	0.012481	0.012231	0.011832	0.012125	0.011814	0.012251	0.012352	0.012364	0.012235	0.012356	0.01209	0.012326	0.012308	0.01225	0.012166	0.0080411	0.012163	0.012229	0.012219	0.012196	0.012246	0.012254	0.012249                                                                         
CCL17  	0.011541	0.0097592	0.011925	0.0072567	0.012524	0.012466	0.012254	0.012486	0.012308	0.012538	0.012366	0.012495	0.012308	0.012642	0.012329	0.012458	0.012434	0.012362	0.0097592	0.012539	0.011154	0.011578	0.011872	0.011479	0.013926	0.012248	0.012388	0.011788	0.011754	0.011738	0.0124	0.012388	0.012336	0.012433	0.01237	0.012401	0.012352	0.012299	0.012085	0.012314	0.012458	0.012409	0.012318	0.012451	0.012339	0.012446	0.012383	0.012423	0.012342	0.012254	0.010803	0.01241	0.012329	0.012312	0.012319	0.012232	0.012364	0.012302	0.01208	0.012138	0.011569	0.012431	0.011935	0.012494	0.011948	0.012515	0.011327	0.011154	0.012363	0.011328	0.012476	0.011691	0.011834	0.01242	0.012404	0.0081361	0.012358	0.012372	0.012327	0.012314	0.012431	0.012505	0.012505                                                                        
CCL2   	0.011604	0.010135	0.012897	0.0088751	0.012387	0.012356	0.012225	0.012308	0.012335	0.012315	0.012256	0.012357	0.012239	0.01244	0.012243	0.012336	0.012314	0.012283	0.010135	0.012369	0.011055	0.01148	0.012035	0.011787	0.012389	0.012211	0.012302	0.013044	0.011665	0.011901	0.012302	0.012324	0.012242	0.012338	0.012293	0.012326	0.012285	0.012252	0.012071	0.012238	0.012347	0.01231	0.012247	0.012218	0.012318	0.012347	0.012296	0.012296	0.012256	0.012195	0.010859	0.012303	0.012283	0.012249	0.01225	0.012164	0.012277	0.012241	0.012137	0.012362	0.013572	0.012337	0.012046	0.012377	0.012038	0.01239	0.011229	0.011055	0.012366	0.011235	0.012345	0.011607	0.01175	0.012379	0.012285	0.0079633	0.012235	0.012277	0.012323	0.012279	0.012331	0.012375	0.012299                                                                          
CCL22  	0.011549	0.0097479	0.011874	0.0072228	0.012383	0.012495	0.012262	0.012538	0.012315	0.012619	0.012389	0.012546	0.012312	0.012754	0.012351	0.012499	0.012477	0.012378	0.0097479	0.01223	0.011095	0.011542	0.011815	0.01137	0.014611	0.012249	0.012395	0.011735	0.011733	0.011651	0.012423	0.012397	0.012365	0.012451	0.012379	0.0124	0.012358	0.012285	0.012092	0.012315	0.01238	0.012417	0.012325	0.012364	0.012344	0.012436	0.012382	0.012431	0.012353	0.012261	0.010818	0.012425	0.012338	0.012319	0.012321	0.012243	0.01238	0.01231	0.012052	0.012126	0.011497	0.012446	0.011934	0.012383	0.011889	0.01255	0.011279	0.011095	0.012382	0.011278	0.012356	0.011664	0.011816	0.012436	0.012426	0.0081984	0.012403	0.01238	0.012336	0.012316	0.012452	0.012539	0.012572                                                                           
