       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL24  	0.011593	0.0098094	0.011786	0.0066489	0.012214	0.012383	0.012299	0.012366	0.012256	0.012389	0.012512	0.01258	0.012319	0.012818	0.012401	0.012468	0.012465	0.012311	0.0098094	0.011972	0.012444	0.012434	0.011671	0.011155	0.012333	0.01229	0.012313	0.011577	0.012442	0.011473	0.012338	0.01234	0.012395	0.012367	0.01231	0.012314	0.012293	0.012205	0.012046	0.012284	0.012267	0.012386	0.012247	0.012285	0.012307	0.012462	0.012308	0.012369	0.01234	0.012302	0.010281	0.012395	0.01228	0.012273	0.012273	0.012265	0.012367	0.01229	0.011953	0.012055	0.011244	0.012387	0.011831	0.012244	0.011754	0.012408	0.012442	0.012444	0.012271	0.012442	0.012213	0.012414	0.012404	0.012321	0.012397	0.0084145	0.012236	0.012352	0.012263	0.012267	0.012375	0.012396	0.01236                                                                          
CCL26  	0.011573	0.0095789	0.011651	0.0065734	0.012369	0.012527	0.012308	0.012495	0.012357	0.012546	0.01258	0.013271	0.012373	0.014259	0.012541	0.012798	0.012772	0.012416	0.0095789	0.012138	0.010973	0.011497	0.011798	0.011308	0.01251	0.012283	0.012463	0.011423	0.011738	0.011631	0.012474	0.012448	0.012503	0.012492	0.01242	0.012435	0.012398	0.012323	0.012116	0.012371	0.012416	0.012489	0.012352	0.012251	0.012384	0.012468	0.012418	0.012461	0.01241	0.012301	0.010512	0.012474	0.012388	0.012384	0.012403	0.012304	0.012471	0.012351	0.01207	0.01211	0.011058	0.012511	0.011913	0.012359	0.011908	0.012532	0.01119	0.010973	0.012381	0.011182	0.012373	0.011631	0.011818	0.012431	0.012531	0.0083458	0.012413	0.012487	0.012367	0.012355	0.012519	0.012523	0.01247                                                                          
CCL5   	0.011503	0.0098164	0.011976	0.0084969	0.012528	0.012336	0.012223	0.012308	0.012239	0.012312	0.012319	0.012373	0.012273	0.012458	0.012284	0.012334	0.012319	0.01227	0.0098164	0.012665	0.01205	0.012144	0.011893	0.011574	0.012363	0.012237	0.012308	0.011873	0.012174	0.011771	0.012287	0.012291	0.012244	0.01232	0.01228	0.012299	0.012273	0.012226	0.012019	0.012252	0.012422	0.012314	0.012229	0.012218	0.01226	0.012335	0.012299	0.0123	0.01228	0.01224	0.010735	0.012304	0.012254	0.012238	0.012247	0.012183	0.012294	0.012247	0.012056	0.012117	0.01171	0.01232	0.011961	0.012453	0.011945	0.012371	0.012083	0.01205	0.012274	0.01209	0.012515	0.012157	0.012184	0.012307	0.012279	0.0080232	0.012209	0.012299	0.012242	0.012251	0.012319	0.012356	0.012299                                                                               
CCL8   	0.011373	0.0088719	0.011431	0.0061076	0.012194	0.012591	0.012374	0.012642	0.01244	0.012754	0.012818	0.014259	0.012458	0.017269	0.012854	0.013331	0.013311	0.012468	0.0088719	0.01173	0.010611	0.011285	0.011471	0.01073	0.012875	0.012314	0.012525	0.011155	0.011631	0.011159	0.012568	0.012449	0.012679	0.012512	0.012469	0.012358	0.012422	0.012272	0.012079	0.012418	0.012325	0.012524	0.012418	0.012036	0.012418	0.012409	0.012437	0.012495	0.012465	0.012334	0.011444	0.01253	0.012416	0.012437	0.012459	0.01235	0.012582	0.012393	0.011916	0.012058	0.010735	0.012481	0.011869	0.012251	0.011589	0.012473	0.010885	0.010611	0.012412	0.010875	0.012236	0.011462	0.011721	0.012394	0.012397	0.0073238	0.012651	0.012631	0.01239	0.012373	0.012586	0.012506	0.012572                                                                        
CCR3   	0.011516	0.0097772	0.011967	0.0070937	0.012202	0.012331	0.012269	0.012329	0.012243	0.012351	0.012401	0.012541	0.012284	0.012854	0.012363	0.012417	0.012415	0.012273	0.0097772	0.012012	0.012398	0.012382	0.011862	0.011538	0.012443	0.012271	0.01243	0.011854	0.012381	0.01173	0.012295	0.012285	0.0123	0.012311	0.012273	0.012252	0.012257	0.012195	0.01201	0.012248	0.01224	0.012327	0.012214	0.012227	0.012266	0.012337	0.01227	0.012314	0.012306	0.012286	0.010529	0.012326	0.012293	0.012249	0.012254	0.012221	0.012368	0.012271	0.012063	0.012122	0.011665	0.012311	0.011853	0.012231	0.01192	0.012342	0.012389	0.012398	0.012249	0.012395	0.012202	0.012366	0.012358	0.01227	0.012281	0.0081513	0.01224	0.012308	0.012234	0.012238	0.012327	0.012336	0.01232                                                                             
CCR4   	0.011542	0.0096294	0.011875	0.0071124	0.012377	0.012521	0.012286	0.012458	0.012336	0.012499	0.012468	0.012798	0.012334	0.013331	0.012417	0.012607	0.012574	0.012397	0.0096294	0.012167	0.01107	0.011539	0.0118	0.011315	0.012789	0.012265	0.012401	0.011727	0.011749	0.011619	0.012444	0.012434	0.012412	0.012494	0.0124	0.012425	0.012386	0.012304	0.012104	0.012333	0.012392	0.012451	0.012357	0.012439	0.012369	0.012476	0.012401	0.012445	0.01238	0.012276	0.011019	0.012443	0.012361	0.012343	0.012352	0.012274	0.01241	0.012324	0.01205	0.012139	0.011472	0.012491	0.011948	0.012363	0.011879	0.012628	0.011266	0.01107	0.012411	0.011261	0.012364	0.011666	0.011829	0.012472	0.012476	0.0082956	0.012378	0.012421	0.012364	0.012342	0.012505	0.012574	0.012461                                                                           
CCR8   	0.011615	0.0098516	0.011917	0.0070016	0.012291	0.012463	0.012284	0.012434	0.012314	0.012477	0.012465	0.012772	0.012319	0.013311	0.012415	0.012574	0.012558	0.012359	0.0098516	0.01206	0.011351	0.011717	0.011804	0.011354	0.01284	0.012264	0.012434	0.011784	0.011887	0.01163	0.012401	0.012384	0.012411	0.012426	0.01236	0.012355	0.012342	0.012267	0.012094	0.01231	0.012329	0.012416	0.012316	0.012332	0.012342	0.012431	0.012359	0.012406	0.012357	0.012277	0.011011	0.012414	0.012344	0.012317	0.012328	0.012256	0.01241	0.012308	0.012049	0.012136	0.011548	0.012425	0.011912	0.01231	0.011877	0.012482	0.011503	0.011351	0.012365	0.011502	0.012285	0.011815	0.011941	0.012404	0.012396	0.0082659	0.012359	0.01239	0.012327	0.01231	0.01244	0.012471	0.012433                                                                            
CD40LG 	0.011703	0.010298	0.011902	0.0086739	0.01244	0.012577	0.012213	0.012362	0.012283	0.012378	0.012311	0.012416	0.01227	0.012468	0.012273	0.012397	0.012359	0.012367	0.010298	0.012331	0.010972	0.01145	0.011989	0.011663	0.012502	0.012222	0.012445	0.01177	0.011643	0.011887	0.012394	0.012414	0.012304	0.012484	0.012365	0.012466	0.012368	0.01232	0.012147	0.012295	0.012414	0.012395	0.012324	0.012275	0.012326	0.012438	0.012381	0.012372	0.012335	0.012235	0.011128	0.012372	0.012349	0.012307	0.012322	0.012211	0.012354	0.012282	0.012137	0.012149	0.011527	0.012484	0.012054	0.01237	0.012051	0.012664	0.011168	0.010972	0.012393	0.011168	0.012414	0.011579	0.011741	0.012482	0.012492	0.0081521	0.012309	0.012351	0.01235	0.012318	0.012469	0.012581	0.012384                                                                           
CHI3L1 	0.041318	0.095039	0.0080016	0.0047255	0.0089158	0.0094095	0.010772	0.0097592	0.010135	0.0097479	0.0098094	0.0095789	0.0098164	0.0088719	0.0097772	0.0096294	0.0098516	0.010298	0.11335	0.0082136	0.0063542	0.0075165	0.0083728	0.0072706	0.0082395	0.0098334	0.0091394	0.0078961	0.0080175	0.0080522	0.010321	0.0098885	0.013022	0.0097119	0.010193	0.011709	0.010332	0.010488	0.019598	0.010905	0.0095922	0.0098629	0.010112	0.0086819	0.010309	0.0094216	0.010261	0.0098324	0.0098323	0.0099662	0.0067561	0.009887	0.0094967	0.010597	0.011182	0.0097817	0.0095602	0.0097795	0.0089552	0.009209	0.0070827	0.009471	0.010085	0.0090683	0.0088264	0.0091782	0.0067716	0.0063542	0.0098897	0.0067784	0.0090514	0.0078743	0.0083117	0.011066	0.0088377	0.0043037	0.0099559	0.010146	0.010539	0.010385	0.0097015	0.0094708	0.0098885               
CHIA   	0.010917	0.0082136	0.010442	0.0057907	0.020678	0.012218	0.011855	0.012539	0.012369	0.01223	0.011972	0.012138	0.012665	0.01173	0.012012	0.012167	0.01206	0.012331	0.0082136	0.030835	0.0089122	0.010132	0.010873	0.0099113	0.011256	0.012099	0.011551	0.0099827	0.010406	0.010665	0.012344	0.012339	0.011971	0.012342	0.012629	0.012589	0.012628	0.012716	0.011975	0.012817	0.017532	0.012399	0.012411	0.011111	0.012301	0.012121	0.013162	0.012316	0.012232	0.011939	0.0091136	0.012265	0.011855	0.01233	0.0126	0.011907	0.011843	0.012147	0.011366	0.01154	0.0095161	0.012295	0.011726	0.018264	0.011304	0.012032	0.0093188	0.0089122	0.011989	0.009352	0.020085	0.010335	0.010729	0.012258	0.011806	0.0058312	0.011961	0.012817	0.012236	0.012561	0.012215	0.012205	0.012249                                                                  
CLC    	0.0094376	0.0063542	0.0099109	0.0043616	0.0096928	0.010341	0.012364	0.011154	0.011055	0.011095	0.012444	0.010973	0.01205	0.010611	0.012398	0.01107	0.011351	0.010972	0.0063542	0.0089122	0.034003	0.02614	0.0092829	0.0081591	0.0094926	0.012565	0.01104	0.0092718	0.022889	0.0085928	0.010789	0.010576	0.011235	0.010512	0.010903	0.010039	0.010847	0.010367	0.010416	0.011319	0.010126	0.010994	0.010751	0.010429	0.011015	0.010848	0.010777	0.011003	0.01166	0.012613	0.0071472	0.011178	0.011015	0.011052	0.010882	0.011982	0.011622	0.011684	0.010207	0.010687	0.0085463	0.010371	0.010234	0.010328	0.0092594	0.010134	0.030522	0.033667	0.010377	0.030606	0.0098953	0.023826	0.021191	0.010009	0.01005	0.0065044	0.010757	0.011311	0.010543	0.010979	0.010645	0.010233	0.010998                                                           
CLCA1  	0.010167	0.0075165	0.010553	0.0052827	0.010656	0.011074	0.012332	0.011578	0.01148	0.011542	0.012434	0.011497	0.012144	0.011285	0.012382	0.011539	0.011717	0.01145	0.0075165	0.010132	0.02614	0.021271	0.010213	0.0093594	0.01046	0.012468	0.01152	0.010065	0.019149	0.009724	0.011338	0.011207	0.011617	0.011174	0.011407	0.010883	0.011368	0.011041	0.010993	0.011666	0.010931	0.011491	0.011285	0.011071	0.011471	0.011409	0.011331	0.011486	0.011904	0.012505	0.0082923	0.011603	0.011476	0.011491	0.011384	0.012073	0.011892	0.011905	0.010877	0.011184	0.0094743	0.011093	0.010819	0.011052	0.010225	0.010942	0.024089	0.02614	0.011054	0.024146	0.010782	0.01975	0.01805	0.010837	0.010896	0.0069442	0.011282	0.011681	0.011155	0.011443	0.01126	0.011003	0.011476                                                                        
CMA1   	0.01082	0.0083728	0.012135	0.010948	0.011374	0.011677	0.011783	0.011872	0.012035	0.011815	0.011671	0.011798	0.011893	0.011471	0.011862	0.0118	0.011804	0.011989	0.0083728	0.010873	0.0092829	0.010213	0.019406	0.025225	0.011085	0.011995	0.01208	0.012138	0.01055	0.022323	0.011972	0.011985	0.011682	0.011851	0.012003	0.011988	0.012022	0.013236	0.011718	0.012076	0.011735	0.012029	0.011876	0.010969	0.012001	0.011716	0.011945	0.011887	0.011992	0.012093	0.009454	0.011901	0.012666	0.012534	0.012341	0.011734	0.011972	0.012418	0.01647	0.01347	0.012212	0.011781	0.0126	0.011815	0.019116	0.011624	0.0096204	0.0092829	0.012045	0.0096605	0.011371	0.010455	0.010812	0.011771	0.011533	0.006172	0.012095	0.011851	0.012012	0.012113	0.011956	0.011821	0.01188                                                                          
CPA3   	0.010226	0.0072706	0.012176	0.0072446	0.01061	0.011044	0.011438	0.011479	0.011787	0.01137	0.011155	0.011308	0.011574	0.01073	0.011538	0.011315	0.011354	0.011663	0.0072706	0.0099113	0.0081591	0.0093594	0.025225	0.038301	0.010199	0.011808	0.011788	0.012237	0.0097815	0.030685	0.011626	0.01164	0.011182	0.011362	0.011699	0.01158	0.011724	0.013941	0.011377	0.011894	0.011222	0.011701	0.011507	0.010048	0.011714	0.011135	0.0116	0.011496	0.011709	0.011991	0.008511	0.011507	0.012927	0.012715	0.012367	0.011375	0.01165	0.01252	0.020133	0.014586	0.012477	0.011231	0.012561	0.011384	0.02496	0.010901	0.0085779	0.0081591	0.011591	0.0086435	0.010637	0.0096699	0.010156	0.01115	0.01082	0.0053293	0.011951	0.011457	0.011704	0.011891	0.011555	0.011254	0.011488                                                                      
CRLF2  	0.010954	0.0082395	0.010977	0.0057635	0.01184	0.012503	0.012245	0.013926	0.012389	0.014611	0.012333	0.01251	0.012363	0.012875	0.012443	0.012789	0.01284	0.012502	0.0082395	0.011256	0.0094926	0.01046	0.011085	0.010199	0.035338	0.012207	0.012448	0.010619	0.010897	0.01068	0.012647	0.012227	0.012473	0.012363	0.012462	0.011995	0.01231	0.012073	0.011918	0.012344	0.012003	0.012378	0.01238	0.011813	0.012333	0.01221	0.012381	0.012637	0.012356	0.012236	0.012134	0.012627	0.012309	0.012329	0.012249	0.012203	0.012436	0.012377	0.011703	0.011842	0.010155	0.012138	0.011695	0.012234	0.011178	0.012311	0.0098813	0.0094926	0.012336	0.0098814	0.011813	0.010759	0.01111	0.012217	0.011757	0.0067135	0.013387	0.012401	0.012242	0.012229	0.012411	0.012647	0.014238                                                                       
CSF2   	0.011465	0.0098334	0.012255	0.0080388	0.012203	0.01226	0.012229	0.012248	0.012211	0.012249	0.01229	0.012283	0.012237	0.012314	0.012271	0.012265	0.012264	0.012222	0.0098334	0.012099	0.012565	0.012468	0.011995	0.011808	0.012207	0.012254	0.012487	0.01218	0.012426	0.011913	0.012227	0.012232	0.012191	0.012246	0.012221	0.012196	0.012212	0.012173	0.011974	0.012202	0.012214	0.01226	0.012175	0.012124	0.012232	0.012321	0.012221	0.012241	0.012258	0.012262	0.010868	0.012262	0.012279	0.012202	0.012208	0.01217	0.012328	0.012235	0.012125	0.012178	0.012124	0.012235	0.011899	0.012228	0.012026	0.012275	0.012521	0.012565	0.012209	0.012538	0.012192	0.012433	0.012395	0.012219	0.012176	0.0079657	0.012186	0.012234	0.012198	0.012202	0.012259	0.012269	0.012241                                                                       
CSF3R  	0.011372	0.0091394	0.011744	0.0064091	0.012016	0.012475	0.012299	0.012388	0.012302	0.012395	0.012313	0.012463	0.012308	0.012525	0.01243	0.012401	0.012434	0.012445	0.0091394	0.011551	0.01104	0.01152	0.01208	0.011788	0.012448	0.012487	0.01674	0.011443	0.011786	0.011915	0.012399	0.012339	0.012272	0.012388	0.012369	0.012157	0.012375	0.012251	0.012064	0.012308	0.012216	0.012478	0.012336	0.011888	0.012327	0.01238	0.012379	0.012387	0.012591	0.012647	0.011847	0.012424	0.013265	0.012351	0.012619	0.012255	0.01359	0.012439	0.012492	0.012262	0.011085	0.012259	0.011916	0.012108	0.012158	0.012366	0.011238	0.01104	0.012367	0.011291	0.012098	0.011726	0.011893	0.012298	0.011985	0.0071758	0.012703	0.012325	0.012304	0.012359	0.012547	0.012424	0.012443                                                                          
CYSLTR1	0.010464	0.0078961	0.026913	0.0064505	0.010758	0.011658	0.012589	0.011788	0.013044	0.011735	0.011577	0.011423	0.011873	0.011155	0.011854	0.011727	0.011784	0.01177	0.0078961	0.0099827	0.0092718	0.010065	0.012138	0.012237	0.010619	0.01218	0.011443	0.033777	0.010616	0.011329	0.011696	0.011906	0.011703	0.011642	0.011825	0.01115	0.011743	0.011629	0.011452	0.011659	0.011096	0.011605	0.011703	0.011436	0.012639	0.011734	0.011657	0.011662	0.01164	0.01184	0.0087488	0.011774	0.012012	0.011785	0.011654	0.011928	0.011735	0.011925	0.012061	0.015385	0.037438	0.011631	0.011836	0.011298	0.011468	0.01126	0.0096396	0.0092718	0.011927	0.0096756	0.010777	0.010536	0.010791	0.01169	0.011149	0.0064616	0.011716	0.01164	0.012845	0.01199	0.011553	0.011364	0.011602                                                                     
EPX    	0.010482	0.0080175	0.010992	0.0056338	0.010935	0.011364	0.01233	0.011754	0.011665	0.011733	0.012442	0.011738	0.012174	0.011631	0.012381	0.011749	0.011887	0.011643	0.0080175	0.010406	0.022889	0.019149	0.01055	0.0097815	0.010897	0.012426	0.011786	0.010616	0.017555	0.010114	0.011561	0.011457	0.011791	0.011439	0.011606	0.01116	0.011571	0.011293	0.011226	0.011795	0.011185	0.01169	0.011504	0.011466	0.011665	0.011643	0.011542	0.011694	0.012	0.012457	0.0087795	0.011782	0.011679	0.011663	0.011584	0.012123	0.012024	0.011989	0.011129	0.011419	0.010135	0.01137	0.011054	0.011276	0.010566	0.011271	0.021321	0.022889	0.01134	0.021365	0.011037	0.018006	0.016705	0.01117	0.011193	0.0077818	0.011506	0.011819	0.011412	0.011628	0.011513	0.011315	0.011675                                                                          
